index,non-gendered,gendered,corrected,was_gendered
2411,"Als Positronium wird ein exotisches Atom bezeichnet, in dem ein Elektron statt an ein Proton an ein Positron, das ist das positiv geladene Antiteilchen des Elektrons, gebunden ist.
","Als Positronium wird ein exotisches Atom bezeichnet, in dem ein Elektron statt an ein Proton an ein Positron, das ist das positiv geladene Antiteilchen des Elektrons, gebunden ist.
","Als Positronium wird ein exotisches Atom bezeichnet, in dem ein Elektron statt an ein Proton an ein Positron, das ist das positiv geladene Antiteilchen des Elektrons, gebunden ist.
",False
2412,"Auch Atome, die gänzlich aus Antiteilchen zur normalen Materie aufgebaut sind, sind möglich.
","Auch Atome, die gänzlich aus Antiteilchen zur normalen Materie aufgebaut sind, sind möglich.
","Auch Atome, die gänzlich aus Antiteilchen zur normalen Materie aufgebaut sind, sind möglich.
",False
2413,"So wurden erstmals 1995 am Genfer CERN Antiwasserstoffatome künstlich hergestellt und nachgewiesen.
","So wurden erstmals 1995 am Genfer CERN Antiwasserstoffatome künstlich hergestellt und nachgewiesen.
","So wurden erstmals 1995 am Genfer CERN Antiwasserstoffatome künstlich hergestellt und nachgewiesen.
",False
2414,"An solchen exotischen Atomen lassen sich unter anderem fundamentale physikalische Theorien überprüfen.
","An solchen exotischen Atomen lassen sich unter anderem fundamentale physikalische Theorien überprüfen.
","An solchen exotischen Atomen lassen sich unter anderem fundamentale physikalische Theorien überprüfen.
",False
2415,"Des Weiteren wird der Name Atom manchmal auch für Zwei-Teilchen-Systeme verwendet, die nicht durch elektromagnetische Wechselwirkung zusammengehalten werden, sondern durch die starke Wechselwirkung.
","Des Weiteren wird der Name Atom manchmal auch für Zwei-Teilchen-Systeme verwendet, die nicht durch elektromagnetische Wechselwirkung zusammengehalten werden, sondern durch die starke Wechselwirkung.
","Des Weiteren wird der Name Atom manchmal auch für Zwei-Teilchen-Systeme verwendet, die nicht durch elektromagnetische Wechselwirkung zusammengehalten werden, sondern durch die starke Wechselwirkung.
",False
2416,"Bei einem solchen Quarkonium handelt es sich um ein kurzlebiges Elementarteilchen vom Typ Meson, das aus einem Quark und seinem Antiteilchen aufgebaut ist.
","Bei einem solchen Quarkonium handelt es sich um ein kurzlebiges Elementarteilchen vom Typ Meson, das aus einem Quark und seinem Antiteilchen aufgebaut ist.
","Bei einem solchen Quarkonium handelt es sich um ein kurzlebiges Elementarteilchen vom Typ Meson, das aus einem Quark und seinem Antiteilchen aufgebaut ist.
",False
2417,"Ein Quarkonium-Atom lässt sich in seinen verschiedenen metastabilen Zuständen so durch Quantenzahlen klassifizieren wie das Wasserstoffatom.
","Ein Quarkonium-Atom lässt sich in seinen verschiedenen metastabilen Zuständen so durch Quantenzahlen klassifizieren wie das Wasserstoffatom.
","Ein Quarkonium-Atom lässt sich in seinen verschiedenen metastabilen Zuständen so durch Quantenzahlen klassifizieren wie das Wasserstoffatom.
",False
2418,"Etwa eine Sekunde nach dem Urknall kamen die ständigen Umwandlungen zwischen den Elementarteilchen zur Ruhe, übrig blieben  Elektronen, Protonen und Neutronen.
","Etwa eine Sekunde nach dem Urknall kamen die ständigen Umwandlungen zwischen den Elementarteilchen zur Ruhe, übrig blieben  Elektronen, Protonen und Neutronen.
","Etwa eine Sekunde nach dem Urknall kamen die ständigen Umwandlungen zwischen den Elementarteilchen zur Ruhe, übrig blieben Elektronen, Protonen und Neutronen.
",False
2419,"In den darauf folgenden drei Minuten verbanden sich in der primordialen Nukleosynthese die vorhandenen Neutronen mit Protonen zu den einfachsten Kernen: Deuterium, Helium, in geringerem Umfang auch Lithium und möglicherweise in noch kleineren Mengen Beryllium und Bor.
","In den darauf folgenden drei Minuten verbanden sich in der primordialen Nukleosynthese die vorhandenen Neutronen mit Protonen zu den einfachsten Kernen: Deuterium, Helium, in geringerem Umfang auch Lithium und möglicherweise in noch kleineren Mengen Beryllium und Bor.
","In den darauf folgenden drei Minuten verbanden sich in der primordialen Nukleosynthese die vorhandenen Neutronen mit Protonen zu den einfachsten Kernen: Deuterium, Helium, in geringerem Umfang auch Lithium und möglicherweise in noch kleineren Mengen Beryllium und Bor.
",False
2420,"Die übrigen Protonen (86 Prozent) blieben erhalten.
","Die übrigen Protonen (86 Prozent) blieben erhalten.
","Die übrigen Protonen (86 Prozent) blieben erhalten.
",False
2421,"Die ersten neutralen Atome mit dauerhaft gebundenen Elektronen wurden erst 380.000 Jahre nach dem Urknall in der Rekombinationsphase gebildet, als das Universum durch Expansion so weit abgekühlt war, dass die Atome nicht sogleich wieder ionisiert wurden.
","Die ersten neutralen Atome mit dauerhaft gebundenen Elektronen wurden erst 380.000 Jahre nach dem Urknall in der Rekombinationsphase gebildet, als das Universum durch Expansion so weit abgekühlt war, dass die Atome nicht sogleich wieder ionisiert wurden.
","Die ersten neutralen Atome mit dauerhaft gebundenen Elektronen wurden erst 380.000 Jahre nach dem Urknall in der Rekombinationsphase gebildet, als das Universum durch Expansion so weit abgekühlt war, dass die Atome nicht sogleich wieder ionisiert wurden.
",False
2422,"Die Kerne aller schwereren Atome wurden und werden durch verschiedene Prozesse der Kernfusion erzeugt.
","Die Kerne aller schwereren Atome wurden und werden durch verschiedene Prozesse der Kernfusion erzeugt.
","Die Kerne aller schwereren Atome wurden und werden durch verschiedene Prozesse der Kernfusion erzeugt.
",False
2423,"Am wichtigsten ist die stellare Nukleosynthese, durch die in Sternen zunächst Helium, anschließend auch die schwereren Elemente bis zum Eisen gebildet werden.
","Am wichtigsten ist die stellare Nukleosynthese, durch die in Sternen zunächst Helium, anschließend auch die schwereren Elemente bis zum Eisen gebildet werden.
","Am wichtigsten ist die stellare Nukleosynthese, durch die in Sternen zunächst Helium, anschließend auch die schwereren Elemente bis zum Eisen gebildet werden.
",False
2424,"Elemente mit höheren Kernladungszahlen als Eisen entstehen in explosionsartigen Vorgängen wie im r-Prozess in Supernovae und im s-Prozess in AGB-Sternen, die kurz vor dem Ende ihrer Lebensdauer sind.
","Elemente mit höheren Kernladungszahlen als Eisen entstehen in explosionsartigen Vorgängen wie im r-Prozess in Supernovae und im s-Prozess in AGB-Sternen, die kurz vor dem Ende ihrer Lebensdauer sind.
","Elemente mit höheren Kernladungszahlen als Eisen entstehen in explosionsartigen Vorgängen wie im r-Prozess in Supernovae und im s-Prozess in AGB-Sternen, die kurz vor dem Ende ihrer Lebensdauer sind.
",False
2425,"Kleine Mengen verschiedener Elemente und Isotope werden auch dadurch gebildet, dass schwere Kerne wieder geteilt werden.
","Kleine Mengen verschiedener Elemente und Isotope werden auch dadurch gebildet, dass schwere Kerne wieder geteilt werden.
","Kleine Mengen verschiedener Elemente und Isotope werden auch dadurch gebildet, dass schwere Kerne wieder geteilt werden.
",False
2426,"Das geschieht durch radioaktive Zerfälle (siehe Zerfallsreihe), die u. a. für einen Teil des Vorkommens von Helium und Blei verantwortlich sind, und Spallationen, die für die Entstehung von Lithium, Beryllium und Bor wichtig sind.
","Das geschieht durch radioaktive Zerfälle (siehe Zerfallsreihe), die u. a. für einen Teil des Vorkommens von Helium und Blei verantwortlich sind, und Spallationen, die für die Entstehung von Lithium, Beryllium und Bor wichtig sind.
","Das geschieht durch radioaktive Zerfälle (siehe Zerfallsreihe), die u. a. für einen Teil des Vorkommens von Helium und Blei verantwortlich sind, und Spallationen, die für die Entstehung von Lithium, Beryllium und Bor wichtig sind.
",False
2427,"Im beobachtbaren Universum liegen die Atome mit einer mittleren Dichte von 0,25 Atome/m³ vor.
","Im beobachtbaren Universum liegen die Atome mit einer mittleren Dichte von 0,25 Atome/m³ vor.
","Im beobachtbaren Universum liegen die Atome mit einer mittleren Dichte von 0,25 Atome/m³ vor.
",False
2428,"Nach dem Urknallmodell (Lambda-CDM-Modell) bilden sie etwa 4,9 Prozent der gesamten Energiedichte.
","Nach dem Urknallmodell (Lambda-CDM-Modell) bilden sie etwa 4,9 Prozent der gesamten Energiedichte.
","Nach dem Urknallmodell (Lambda-CDM-Modell) bilden sie etwa 4,9 Prozent der gesamten Energiedichte.
",False
2429,"Der Rest, dessen Natur noch weitgehend unklar ist, setzt sich aus etwa 27 Prozent dunkler Materie und 68 Prozent dunkler Energie zusammen, sowie kleinen Beiträgen von Neutrinos und elektromagnetischer Strahlung.
","Der Rest, dessen Natur noch weitgehend unklar ist, setzt sich aus etwa 27 Prozent dunkler Materie und 68 Prozent dunkler Energie zusammen, sowie kleinen Beiträgen von Neutrinos und elektromagnetischer Strahlung.
","Der Rest, dessen Natur noch weitgehend unklar ist, setzt sich aus etwa 27 Prozent dunkler Materie und 68 Prozent dunkler Energie zusammen, sowie kleinen Beiträgen von Neutrinos und elektromagnetischer Strahlung.
",False
2430,"Im Inneren einer Galaxie wie etwa der Milchstraße ist im interstellaren Medium (ISM) die Dichte der Atome wesentlich höher und liegt zwischen 104 und 1011 Atome/m3. Die Sonne befindet sich in der weitgehend staubfreien lokalen Blase, daher ist die Dichte in der Umgebung des Sonnensystems nur etwa 103 Atome/m3. In festen Himmelskörpern wie der Erde beträgt die Atomdichte etwa 1029 Atome/m3.
","Im Inneren einer Galaxie wie etwa der Milchstraße ist im interstellaren Medium (ISM) die Dichte der Atome wesentlich höher und liegt zwischen 104 und 1011 Atome/m3. Die Sonne befindet sich in der weitgehend staubfreien lokalen Blase, daher ist die Dichte in der Umgebung des Sonnensystems nur etwa 103 Atome/m3. In festen Himmelskörpern wie der Erde beträgt die Atomdichte etwa 1029 Atome/m3.
","Im Inneren einer Galaxie wie etwa der Milchstraße ist im interstellaren Medium (ISM) die Dichte der Atome wesentlich höher und liegt zwischen 104 und 1011 Atome/m3. Die Sonne befindet sich in der weitgehend staubfreien lokalen Blase, daher ist die Dichte in der Umgebung des Sonnensystems nur etwa 103 Atome/m3. In festen Himmelskörpern wie der Erde beträgt die Atomdichte etwa 1029 Atome/m3.
",False
2431,"In der Verteilung der Elemente dominiert im Universum Wasserstoff mit rund drei Viertel der Masse, danach folgt Helium mit etwa einem Viertel.
","In der Verteilung der Elemente dominiert im Universum Wasserstoff mit rund drei Viertel der Masse, danach folgt Helium mit etwa einem Viertel.
","In der Verteilung der Elemente dominiert im Universum Wasserstoff mit rund drei Viertel der Masse, danach folgt Helium mit etwa einem Viertel.
",False
2432,"Alle schwereren Elemente sind viel seltener und machen nur einen kleinen Teil der im Universum vorhandenen Atome aus.
","Alle schwereren Elemente sind viel seltener und machen nur einen kleinen Teil der im Universum vorhandenen Atome aus.
","Alle schwereren Elemente sind viel seltener und machen nur einen kleinen Teil der im Universum vorhandenen Atome aus.
",False
2433,"Ihre Häufigkeiten werden von den verschiedenen Mechanismen der Nukleosynthese bestimmt.
","Ihre Häufigkeiten werden von den verschiedenen Mechanismen der Nukleosynthese bestimmt.
","Ihre Häufigkeiten werden von den verschiedenen Mechanismen der Nukleosynthese bestimmt.
",False
2434,"Im Sonnensystem sind Wasserstoff und Helium vorwiegend in der Sonne und den Gasplaneten enthalten.
","Im Sonnensystem sind Wasserstoff und Helium vorwiegend in der Sonne und den Gasplaneten enthalten.
","Im Sonnensystem sind Wasserstoff und Helium vorwiegend in der Sonne und den Gasplaneten enthalten.
",False
2435,"Dagegen überwiegen auf der Erde die schweren Elemente.
","Dagegen überwiegen auf der Erde die schweren Elemente.
","Dagegen überwiegen auf der Erde die schweren Elemente.
",False
2436,"Die häufigsten Elemente sind hier Sauerstoff, Eisen, Silicium und Magnesium.
","Die häufigsten Elemente sind hier Sauerstoff, Eisen, Silicium und Magnesium.
","Die häufigsten Elemente sind hier Sauerstoff, Eisen, Silicium und Magnesium.
",False
2437,"Der Erdkern besteht vorwiegend aus Eisen, während in der Erdkruste Sauerstoff und Silicium vorherrschen.
","Der Erdkern besteht vorwiegend aus Eisen, während in der Erdkruste Sauerstoff und Silicium vorherrschen.
","Der Erdkern besteht vorwiegend aus Eisen, während in der Erdkruste Sauerstoff und Silicium vorherrschen.
",False
2438,"Die beiden Hauptbestandteile eines Atoms sind der Atomkern und die Atomhülle.
","Die beiden Hauptbestandteile eines Atoms sind der Atomkern und die Atomhülle.
","Die beiden Hauptbestandteile eines Atoms sind der Atomkern und die Atomhülle.
",False
2439,"Die Hülle besteht aus Elektronen.
","Die Hülle besteht aus Elektronen.
","Die Hülle besteht aus Elektronen.
",False
2440,"Sie trägt mit weniger als 0,06 Prozent zur Masse des Atoms bei, bestimmt aber dessen Größe und dessen Verhalten gegenüber anderen Atomen, wenn sie einander nahe kommen.
","Sie trägt mit weniger als 0,06 Prozent zur Masse des Atoms bei, bestimmt aber dessen Größe und dessen Verhalten gegenüber anderen Atomen, wenn sie einander nahe kommen.
","Sie trägt mit weniger als 0,06 Prozent zur Masse des Atoms bei, bestimmt aber dessen Größe und dessen Verhalten gegenüber anderen Atomen, wenn sie einander nahekommen.
",False
2441,"Der Kern besteht aus Protonen und Neutronen, ist im Durchmesser zehn- bis hunderttausendmal kleiner
","Der Kern besteht aus Protonen und Neutronen, ist im Durchmesser zehn- bis hunderttausendmal kleiner
","Der Kern besteht aus Protonen und Neutronen, ist im Durchmesser zehn- bis hunderttausendmal kleiner
",False
2442,"als die Hülle, enthält aber mehr als 99,9 Prozent der Masse des Atoms.
","als die Hülle, enthält aber mehr als 99,9 Prozent der Masse des Atoms.
","Als die Hülle, enthält aber mehr als 99,9 Prozent der Masse des Atoms.
",False
2443,"Die in einem Atom vorhandenen Protonen und Neutronen, zusammen auch als Nukleonen bezeichnet, sind aneinander gebundenen und bilden den Atomkern.
","Die in einem Atom vorhandenen Protonen und Neutronen, zusammen auch als Nukleonen bezeichnet, sind aneinander gebundenen und bilden den Atomkern.
","Die in einem Atom vorhandenen Protonen und Neutronen, zusammen auch als Nukleonen bezeichnet, sind aneinander gebundenen und bilden den Atomkern.
",False
2444,"Die Nukleonen zählen zu den Hadronen.
","Die Nukleonen zählen zu den Hadronen.
","Die Nukleonen zählen zu den Hadronen.
",False
2445,"Das Proton ist positiv geladen, das Neutron ist elektrisch neutral.
","Das Proton ist positiv geladen, das Neutron ist elektrisch neutral.
","Das Proton ist positiv geladen, das Neutron ist elektrisch neutral.
",False
2446,"Proton und Neutron haben einen Durchmesser von etwa 1,6 fm (Femtometer) und sind selber keine Elementarteilchen, sondern nach dem Standardmodell der Elementarteilchenphysik aus den punktförmigen Quarks aufgebaut.
","Proton und Neutron haben einen Durchmesser von etwa 1,6 fm (Femtometer) und sind selber keine Elementarteilchen, sondern nach dem Standardmodell der Elementarteilchenphysik aus den punktförmigen Quarks aufgebaut.
","Proton und Neutron haben einen Durchmesser von etwa 1,6 fm (Femtometer) und sind selber keine Elementarteilchen, sondern nach dem Standardmodell der Elementarteilchenphysik aus den punktförmigen Quarks aufgebaut.
",False
2447,"Jeweils drei Quarks binden sich durch die starke Wechselwirkung, die durch Gluonen vermittelt wird, zu einem Nukleon.
","Jeweils drei Quarks binden sich durch die starke Wechselwirkung, die durch Gluonen vermittelt wird, zu einem Nukleon.
","Jeweils drei Quarks binden sich durch die starke Wechselwirkung, die durch Gluonen vermittelt wird, zu einem Nukleon.
",False
2448,"Die starke Wechselwirkung ist darüber hinaus für den Zusammenhalt der Nukleonen im Atomkern verantwortlich, insbesondere ist die Anziehung bis zu etwa 2,5 fm Abstand deutlich stärker als die gegenseitige elektrische Abstoßung der Protonen.
","Die starke Wechselwirkung ist darüber hinaus für den Zusammenhalt der Nukleonen im Atomkern verantwortlich, insbesondere ist die Anziehung bis zu etwa 2,5 fm Abstand deutlich stärker als die gegenseitige elektrische Abstoßung der Protonen.
","Die starke Wechselwirkung ist darüber hinaus für den Zusammenhalt der Nukleonen im Atomkern verantwortlich, insbesondere ist die Anziehung bis zu etwa 2,5 fm Abstand deutlich stärker als die gegenseitige elektrische Abstoßung der Protonen.
",False
2449,"Unterhalb von etwa 1,6 fm wird die starke Wechselwirkung der Hadronen jedoch stark abstoßend.
","Unterhalb von etwa 1,6 fm wird die starke Wechselwirkung der Hadronen jedoch stark abstoßend.
","Unterhalb von etwa 1,6 fm wird die starke Wechselwirkung der Hadronen jedoch stark abstoßend.
",False
2450,"Anschaulich gesprochen verhalten sich die Nukleonen im Kern also etwa wie harte Kugeln, die aneinander haften.
","Anschaulich gesprochen verhalten sich die Nukleonen im Kern also etwa wie harte Kugeln, die aneinander haften.
","Anschaulich gesprochen verhalten sich die Nukleonen im Kern also etwa wie harte Kugeln, die aneinander haften.
",False
2451,"Daher steigt das Volumen des Kerns proportional zur Nukleonenzahl (Massenzahl) A. Sein Radius beträgt etwa 1{,}07 \sqrt[3]{A} fm.
","Daher steigt das Volumen des Kerns proportional zur Nukleonenzahl (Massenzahl) A. Sein Radius beträgt etwa 1{,}07 \sqrt[3]{A} fm.
","Daher steigt das Volumen des Kerns proportional zur Nukleonenzahl (Massenzahl) A. Sein Radius beträgt etwa 1{, }07 \sqrt[3]{A} fm.
",False
2452,"Der leichteste Atomkern besteht aus nur einem Proton.
","Der leichteste Atomkern besteht aus nur einem Proton.
","Der leichteste Atomkern besteht aus nur einem Proton.
",False
2453,"Mehrere Protonen stoßen sich zwar gemäß der Elektrostatik ab, können zusammen mit einer geeigneten Anzahl von Neutronen aber ein stabiles System bilden.
","Mehrere Protonen stoßen sich zwar gemäß der Elektrostatik ab, können zusammen mit einer geeigneten Anzahl von Neutronen aber ein stabiles System bilden.
","Mehrere Protonen stoßen sich zwar gemäß der Elektrostatik ab, können zusammen mit einer geeigneten Anzahl von Neutronen aber ein stabiles System bilden.
",False
2454,"Doch schon bei kleinen Abweichungen von dem energetisch günstigsten Zahlenverhältnis ist der Kern instabil und wandelt sich spontan um, indem aus einem Neutron ein Proton wird oder umgekehrt und die frei werdende Energie und Ladung als Betastrahlung abgegeben wird.
","Doch schon bei kleinen Abweichungen von dem energetisch günstigsten Zahlenverhältnis ist der Kern instabil und wandelt sich spontan um, indem aus einem Neutron ein Proton wird oder umgekehrt und die frei werdende Energie und Ladung als Betastrahlung abgegeben wird.
","Doch schon bei kleinen Abweichungen von dem energetisch günstigsten Zahlenverhältnis ist der Kern instabil und wandelt sich spontan um, indem aus einem Neutron ein Proton wird oder umgekehrt und die frei werdende Energie und Ladung als Betastrahlung abgegeben wird.
",False
2455,"Kerne mit bis zu etwa 20 Protonen sind nur bei annähernd gleich großer Neutronenzahl stabil.
","Kerne mit bis zu etwa 20 Protonen sind nur bei annähernd gleich großer Neutronenzahl stabil.
","Kerne mit bis zu etwa 20 Protonen sind nur bei annähernd gleich großer Neutronenzahl stabil.
",False
2456,"Darüber steigt in den stabilen Atomkernen das Verhältnis von Neutronen zu Protonen von 1:1 bis auf etwa 1,5:1, weil bei größeren Protonenzahlen wegen ihrer elektrostatischen Abstoßung die Anzahl der Neutronen schneller anwachsen muss als die der Protonen (Details siehe Tröpfchenmodell).
","Darüber steigt in den stabilen Atomkernen das Verhältnis von Neutronen zu Protonen von 1:1 bis auf etwa 1,5:1, weil bei größeren Protonenzahlen wegen ihrer elektrostatischen Abstoßung die Anzahl der Neutronen schneller anwachsen muss als die der Protonen (Details siehe Tröpfchenmodell).
","Darüber steigt in den stabilen Atomkernen das Verhältnis von Neutronen zu Protonen von 1:1 bis auf etwa 1,5:1, weil bei größeren Protonenzahlen wegen ihrer elektrostatischen Abstoßung die Anzahl der Neutronen schneller anwachsen muss als die der Protonen (Details siehe Tröpfchenmodell).
",False
2457,"Die Bindungsenergie liegt in stabilen Kernen (abgesehen von den leichtesten) oberhalb von 7 MeV pro Nukleon (siehe Abbildung) und übertrifft damit die Bindungsenergie der äußeren Elektronen der Atomhülle oder die chemische Bindungsenergie in stabilen Molekülen um das ca. 106-fache.
","Die Bindungsenergie liegt in stabilen Kernen (abgesehen von den leichtesten) oberhalb von 7 MeV pro Nukleon (siehe Abbildung) und übertrifft damit die Bindungsenergie der äußeren Elektronen der Atomhülle oder die chemische Bindungsenergie in stabilen Molekülen um das ca. 106-fache.
","Die Bindungsenergie liegt in stabilen Kernen (abgesehen von den leichtesten) oberhalb von 7 MeV pro Nukleon (siehe Abbildung) und übertrifft damit die Bindungsenergie der äußeren Elektronen der Atomhülle oder die chemische Bindungsenergie in stabilen Molekülen um das ca. 106-fache.
",False
2458,"Kerne mit bestimmten Nukleonenzahlen, die als Magische Zahl bezeichnet werden, beispielsweise Helium-4, Sauerstoff-16 oder Blei-208, sind besonders stabil, was mit dem Schalenmodell des Atomkerns erklärt werden kann.
","Kerne mit bestimmten Nukleonenzahlen, die als Magische Zahl bezeichnet werden, beispielsweise Helium-4, Sauerstoff-16 oder Blei-208, sind besonders stabil, was mit dem Schalenmodell des Atomkerns erklärt werden kann.
","Kerne mit bestimmten Nukleonenzahlen, die als magische Zahl bezeichnet werden, beispielsweise Helium-4, Sauerstoff-16 oder Blei-208, sind besonders stabil, was mit dem Schalenmodell des Atomkerns erklärt werden kann.
",False
2459,"Oberhalb einer Zahl von 82 Protonen (also jenseits von Blei) sind alle Kerne instabil.
","Oberhalb einer Zahl von 82 Protonen (also jenseits von Blei) sind alle Kerne instabil.
","Oberhalb einer Zahl von 82 Protonen (also jenseits von Blei) sind alle Kerne instabil.
",False
2460,"Sie wandeln sich durch Ausstoßen eines Kerns He-4 in leichtere Kerne um (Alphastrahlung).
","Sie wandeln sich durch Ausstoßen eines Kerns He-4 in leichtere Kerne um (Alphastrahlung).
","Sie wandeln sich durch Ausstoßen eines Kerns He-4 in leichtere Kerne um (Alphastrahlung).
",False
2461,"Dies wiederholt sich, zusammen mit Betastrahlung, so lange, bis ein stabiler Kern erreicht ist; mehrere Zerfallsstufen bilden eine Zerfallsreihe.
","Dies wiederholt sich, zusammen mit Betastrahlung, so lange, bis ein stabiler Kern erreicht ist; mehrere Zerfallsstufen bilden eine Zerfallsreihe.
","Dies wiederholt sich, zusammen mit Betastrahlung, solange, bis ein stabiler Kern erreicht ist; mehrere Zerfallsstufen bilden eine Zerfallsreihe.
",False
2462,"Auch zu den Protonenzahlen 43 (Technetium) und 61 (Promethium) existiert kein stabiler Kern.
","Auch zu den Protonenzahlen 43 (Technetium) und 61 (Promethium) existiert kein stabiler Kern.
","Auch zu den Protonenzahlen 43 (Technetium) und 61 (Promethium) existiert kein stabiler Kern.
",False
2463,"Daher kann es insgesamt nur 80 verschiedene stabile chemische Elemente geben, alle weiteren sind radioaktiv.
","Daher kann es insgesamt nur 80 verschiedene stabile chemische Elemente geben, alle weiteren sind radioaktiv.
","Daher kann es insgesamt nur 80 verschiedene stabile chemische Elemente geben, alle weiteren sind radioaktiv.
",False
2464,"Sie kommen auf der Erde nur dann natürlich vor, wenn sie selber oder eine ihrer Muttersubstanzen eine genügend lange Halbwertzeit haben.
","Sie kommen auf der Erde nur dann natürlich vor, wenn sie selber oder eine ihrer Muttersubstanzen eine genügend lange Halbwertzeit haben.
","Sie kommen auf der Erde nur dann natürlich vor, wenn sie selber oder eine ihrer Muttersubstanzen eine genügend lange Halbwertzeit haben.
",False
2465,"Da der Großteil der Atommasse von den Neutronen und Protonen stammt und diese etwa gleich schwer sind, wird die Gesamtzahl dieser Teilchen in einem Atom als Massenzahl bezeichnet.
","Da der Großteil der Atommasse von den Neutronen und Protonen stammt und diese etwa gleich schwer sind, wird die Gesamtzahl dieser Teilchen in einem Atom als Massenzahl bezeichnet.
","Da der Großteil der Atommasse von den Neutronen und Protonen stammt und diese etwa gleich schwer sind, wird die Gesamtzahl dieser Teilchen in einem Atom als Massenzahl bezeichnet.
",False
2466,"Die genaue Masse eines Atoms wird oft in der atomaren Masseneinheit u angegeben; ihr Zahlenwert ist dann etwa gleich der Massenzahl.
","Die genaue Masse eines Atoms wird oft in der atomaren Masseneinheit u angegeben; ihr Zahlenwert ist dann etwa gleich der Massenzahl.
","Die genaue Masse eines Atoms wird oft in der atomaren Masseneinheit u angegeben; ihr Zahlenwert ist dann etwa gleich der Massenzahl.
",False
2467,"Kleinere Abweichungen entstehen durch den Massendefekt der Atomkerne.
","Kleinere Abweichungen entstehen durch den Massendefekt der Atomkerne.
","Kleinere Abweichungen entstehen durch den Massendefekt der Atomkerne.
",False
2468,"Die atomare Masseneinheit ergibt sich aus der Definition der SI-Einheit des Mols in der Art und Weise, dass ein Atom des Kohlenstoffisotops 12C (im Grundzustand inklusive seiner Hüllenelektronen) eine Masse von exakt 12 u besitzt.
","Die atomare Masseneinheit ergibt sich aus der Definition der SI-Einheit des Mols in der Art und Weise, dass ein Atom des Kohlenstoffisotops 12C (im Grundzustand inklusive seiner Hüllenelektronen) eine Masse von exakt 12 u besitzt.
","Die atomare Masseneinheit ergibt sich aus der Definition der SI-Einheit des Mols in der Art und Weise, dass ein Atom des Kohlenstoffisotops 12C (im Grundzustand inklusive seiner Hüllenelektronen) eine Masse von exakt 12 u besitzt.
",False
2469,"Ein Atom des leichtesten Wasserstoffisotops hat eine Masse von 1,007825 u. Das schwerste stabile Nuklid ist das Bleiisotop 208Pb mit einer Masse von 207,9766521 u.
","Ein Atom des leichtesten Wasserstoffisotops hat eine Masse von 1,007825 u. Das schwerste stabile Nuklid ist das Bleiisotop 208Pb mit einer Masse von 207,9766521 u.
","Ein Atom des leichtesten Wasserstoffisotops hat eine Masse von 1,007825 u. Das schwerste stabile Nuklid ist das Bleiisotop 208Pb mit einer Masse von 207,9766521 u.
",False
2470,"Da makroskopische Stoffmengen so viele Atome enthalten, dass die Angabe ihrer Anzahl als natürliche Zahl unhandlich wäre, erhielt die Stoffmenge eine eigene Einheit, das Mol.
","Da makroskopische Stoffmengen so viele Atome enthalten, dass die Angabe ihrer Anzahl als natürliche Zahl unhandlich wäre, erhielt die Stoffmenge eine eigene Einheit, das Mol.
","Da makroskopische Stoffmengen so viele Atome enthalten, dass die Angabe ihrer Anzahl als natürliche Zahl unhandlich wäre, erhielt die Stoffmenge eine eigene Einheit, das Mol.
",False
2471,"Ein Mol sind etwa 6,022 · 1023 Atome (oder auch Moleküle oder andere Teilchen; die betrachtete Teilchenart muss immer mitgenannt werden).
","Ein Mol sind etwa 6,022 · 1023 Atome (oder auch Moleküle oder andere Teilchen; die betrachtete Teilchenart muss immer mitgenannt werden).
","Ein Mol sind etwa 6,022 · 1023 Atome (oder auch Moleküle oder andere Teilchen; die betrachtete Teilchenart muss immer mitgenannt werden).
",False
2472,"Die Masse von 1 Mol Atomen der Atommasse X u ist daher exakt X g. Daher ist es in der Chemie üblich, Atommassen statt in u auch indirekt in g/mol anzugeben.
","Die Masse von 1 Mol Atomen der Atommasse X u ist daher exakt X g. Daher ist es in der Chemie üblich, Atommassen statt in u auch indirekt in g/mol anzugeben.
","Die Masse von 1 Mol Atomen der Atommasse X u ist daher exakt X g. Daher ist es in der Chemie üblich, Atommassen statt in u auch indirekt in g/mol anzugeben.
",False
2473,"In welcher Art ein instabiler Atomkern zerfällt, ist für das jeweilige Radionuklid typisch.
","In welcher Art ein instabiler Atomkern zerfällt, ist für das jeweilige Radionuklid typisch.
","In welcher Art ein instabiler Atomkern zerfällt, ist für das jeweilige Radionuklid typisch.
",False
2474,"Bei manchen Nukliden können die (untereinander völlig gleichen) Kerne auch auf verschiedene Arten zerfallen, so dass mehrere Zerfallskanäle mit bestimmten Anteilen beteiligt sind.
","Bei manchen Nukliden können die (untereinander völlig gleichen) Kerne auch auf verschiedene Arten zerfallen, so dass mehrere Zerfallskanäle mit bestimmten Anteilen beteiligt sind.
","Bei manchen Nukliden können die (untereinander völlig gleichen) Kerne auch auf verschiedene Arten zerfallen, sodass mehrere Zerfallskanäle mit bestimmten Anteilen beteiligt sind.
",False
