index,gendered,inclusive_form
1234,Der MieterInnenverein bietet Unterstützung und Beratung bei Problemen.,"Der Mieterinnen- und Mietverein, der sich als Anlaufstelle für alle Personen versteht, die zur Miete wohnen – unabhängig von ihrer Geschlechtsidentität, also ob sie sich als Frau, Mann, nicht-binär, genderfluid, agender oder auf andere Weise identifizieren –, bietet Unterstützung und Beratung bei den vielfältigen Herausforderungen und Problemen, die im Zusammenhang mit dem Mietverhältnis auftreten können."
1235,Die Berechnung der Kosten erwies sich als Trugschluss.,"Die Ermittlung und Berechnung der Kosten, die von Personen unterschiedlicher Geschlechtsidentitäten vorgenommen wurde, stellte sich als fehlerhaft heraus und war möglicherweise nicht korrekt, da sie verschiedene Faktoren, Perspektiven oder Annahmen nicht ausreichend berücksichtigt hat."
1236,Bei der Ministerpräsident*innenkonferenz wurden wichtige politische Entscheidungen getroffen.,"'Bei der Konferenz der Ministerpräsidentinnen, Ministerpräsidenten und aller anderen Personen, die als Regierungschefs oder Regierungschefinnen der Bundesländer fungieren und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, wurden bedeutende politische Entscheidungen getroffen, die für die gesamte Gesellschaft von Relevanz sind.'"
1237,Dier MinistrantIn half während der Messe am Altar.,"Die Person, die als Ministrant oder Ministrantin tätig ist und während der Messe am Altar hilft, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, hat eine unterstützende Rolle während des Gottesdienstes übernommen."
1238,Dier MinistrantInnen führten die Prozession während der Feierlichkeiten an.,"Die Personen, die als Ministranten oder Ministrantinnen fungieren, sowie alle weiteren Personen, die sich in dieser Rolle engagieren und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, führten die Prozession während der Feierlichkeiten an."
1239,"Die regelmäßige Mitarbeiter:inbeurteilung hilft dabei, Stärken und Schwächen im Team zu erkennen.","Die regelmäßige Beurteilung der Mitarbeiterinnen, Mitarbeiter und aller anderen Personen im Team, unabhängig von deren Geschlechtsidentität oder -ausdruck, trägt dazu bei, die individuellen Stärken und Schwächen innerhalb des Teams zu erkennen und zu fördern. Diese wertvolle Rückmeldung ermöglicht es, ein inklusives Arbeitsumfeld zu schaffen, in dem sich jede Person, die zum Team gehört, wertgeschätzt und unterstützt fühlt, und an ihrer beruflichen Entwicklung arbeiten kann."
1240,Die hohe Mitarbeiter*inmobilität in der Branche stellt eine Herausforderung für das Personalmanagement dar.,"Die hohe Mobilität von Mitarbeitenden in der Branche, die sowohl Frauen, Männer als auch non-binäre, genderqueere und andere Personen umfasst, die in verschiedenen Beschäftigungsverhältnissen tätig sind, stellt eine Herausforderung für das Personalmanagement dar. Dies bezieht sich auf alle Personen, die in dieser Branche arbeiten, unabhängig von ihrer Geschlechtsidentität oder -ausdruck, und verdeutlicht die Notwendigkeit, vielfältige Ansätze und Strategien zu entwickeln, um dem Wandel in der Belegschaft gerecht zu werden."
1241,Die Mitarbeitendenorientierung des Unternehmens zeigt sich in den flexiblen Arbeitszeiten und dem guten Betriebsklima.,"Die Ausrichtung des Unternehmens auf die Bedürfnisse der Mitarbeitenden, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität, zeigt sich sowohl in den flexiblen Arbeitszeiten, die es ermöglichen, das Berufs- und Privatleben besser zu vereinbaren, als auch in dem positiven und unterstützenden Betriebsklima, das für alle Personen, die im Unternehmen tätig sind – seien es Angestellte, Teilzeitkräfte, Vollzeitkräfte, Aushilfen oder Praktikantinnen, Praktikanten und andere, die sich mit verschiedenen Geschlechtsidentitäten identifizieren – geschaffen wird."
1242,Die Mitarbeiter:inverpflegung in der Kantine umfasst eine Vielzahl gesunder Mahlzeiten.,"Die Verpflegung für alle Mitarbeitenden in der Kantine, die verschiedene Geschlechteridentitäten repräsentieren und sich möglicherweise als Frau, Mann oder anderen Geschlechtsidentitäten verstehen, umfasst eine Vielzahl gesunder Mahlzeiten, die den unterschiedlichen Ernährungsbedürfnissen und Vorlieben aller Personen gerecht werden."
1243,Der Mittelsperson vermittelte erfolgreich zwischen den beiden Geschäftspartner/innen.,"Die Person, die als Vermittlerin oder Vermittler zwischen den beiden Geschäftspartnerinnen, Geschäftspartnern und allen anderen Personen, die in diesem geschäftlichen Kontext agieren und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, tätig ist, hat erfolgreich einen Dialog und einen Austausch zwischen diesen Gruppen gefördert."
1244,Dier Mittelständler/in ist oft flexibler und schneller bei der Anpassung an Marktveränderungen als große Konzerne.,"Die Person oder das Unternehmen, das im Bereich des Mittelstands tätig ist, unabhängig davon, ob diese Person ein Mann, eine Frau oder eine Person mit einer anderen Geschlechtsidentität ist, zeigt häufig eine größere Flexibilität und Schnelligkeit bei der Anpassung an Veränderungen auf dem Markt im Vergleich zu großen Konzernen. Diese Agilität kann verschiedene Formen annehmen, die durch innovative Strategien, eine enge Kundenbindung oder eine dynamische Reaktion auf aktuelle Entwicklungen charakterisiert sind, und macht den Mittelstand zu einem wichtigen Akteur in der Wirtschaft."
1245,Die Modeschöpfer_innen präsentierten ihre neue Kollektion auf der Fashion Week.,"Die Personen, die als Modeschöpferinnen, Modeschöpfer und in anderen Geschlechtsidentitäten, die nicht den traditionellen Kategorien entsprechen, arbeiten, präsentierten ihre neue Kollektion im Rahmen der Fashion Week. Unabhängig davon, wie diese kreativen Köpfe sich in Bezug auf Geschlecht und Geschlechtsidentität definieren, zeigen sie ihre innovativen Designs und inspirierenden Werke einem breiten Publikum."
1246,"Die Mofa fahrende Person fuhr vorsichtig, um sicher durch den dichten Verkehr zu kommen.","Die Person, die mit einem Mofa unterwegs ist und somit eine Form von motorisiertem Zweirad nutzt, fuhr vorsichtig und bedacht, um sicher und unversehrt durch den dichten Verkehr zu navigieren, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert."
1247,Als Montagsmaler*in zeichnete dey einfache Bilder und gewann damit viele Freunde.,"Als Person, die als Montagsmaler:in arbeitet, zeichnete sie, er oder sie sowie alle anderen Personen, die sich nicht in die traditionellen Geschlechtskategorien einordnen möchten oder die sich als gendernonkonform, nicht-binär oder mit einer anderen Geschlechtsidentität identifizieren, einfache Bilder und gewann dadurch viele Freundinnen und Freunde sowie Menschen, die sich über diese vielfältigen Geschlechtsidentitäten hinweg engagieren und wertschätzen."
1248,Die in München wohnende Person genoss die warme Sonne im Englischen Garten.,"Die Person, die in München lebt und sich möglicherweise als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert, genoss die angenehme Wärme der Sonne im Englischen Garten, einem beliebten Erholungsort, der Menschen aller Geschlechter und Identitäten willkommen heißt."
1249,Der Makler/inverbund war für die Vermittlung von Immobilien in der Region bekannt.,"Der Makler*innenverbund, der aus Personen besteht, die in der Immobilienvermittlung tätig sind, unabhängig davon, ob sie sich als männlich, weiblich oder mit einer anderen Geschlechtsidentität identifizieren, war für seine Expertise und seine Aktivitäten in der Vermittlung von Immobilien in der Region bekannt."
1250,"Die 1000-Personen-Quote wurde eingeführt, um sicherzustellen, dass genügend Personal für das große Event zur Verfügung stand.","Die 1000-Personen-Quote wurde eingeführt, um sicherzustellen, dass genügend Personal, einschließlich all der unterschiedlichen Geschlechtsidentitäten, die sich möglicherweise als Frauen, Männer oder nicht-binär oder anders identifizieren, für das große Event zur Verfügung steht. Diese Regelung zielt darauf ab, Vielfalt und Repräsentation im Team zu fördern, sodass verschiedene Perspektiven und Erfahrungen in die Planung und Durchführung des Events einfließen können. Es ist wichtig, dass sich jede Person, die Teil des Unternehmens oder der Organisation ist, willkommen und wertgeschätzt fühlt, unabhängig von ihrer Geschlechtsidentität."
1251,"Die Gruppenfunktion ermöglichte es den Teammitgliedern, effektiv zusammenzuarbeiten und ihre individuellen Stärken einzubringen.","Die Funktion der Gruppe ermöglichte es allen Teammitgliedern, unabhängig von ihrer Geschlechtsidentität, Geschlechtszugehörigkeit oder dem Ausdruck dieser Identität, effektiv zusammenzuarbeiten. Die Mitglieder, die sich möglicherweise als Frauen, Männer oder als nicht-binär identifizierende Personen begreifen, sowie all jene, die sich in einer anderen Geschlechtsidentität verstehen, konnten ihre individuellen Stärken und Fähigkeiten einbringen. Diese inklusive Arbeitsumgebung fördert die Vielfalt der Perspektiven und Kompetenzen, was zu einer noch stärkeren und produktiveren Zusammenarbeit innerhalb des Teams führt."
1252,Dier MeinungskontrahentIn argumentierte vehement für eine alternative Lösung des Problems.,"Die Person, die als Meinungskontrahent oder Meinungskontrahentin auftritt und in dieser Diskussion eine kritische Position einnimmt, argumentierte mit Nachdruck für eine alternative Lösung des Problems. Dabei ist es wichtig zu betonen, dass diese Person unabhängig von ihrer Geschlechtsidentität, sei es männlich, weiblich, nicht-binär oder eine andere Identität, ihre Argumente vorbringt und sich aktiv in die Diskussion einbringt."
1253,"Die Nachbarinnen organisierten eine gemeinsame Grillparty, um die Geme:inschaft zu stärken und sich besser kennenzulernen.","Die Personen, die in der Nachbarschaft leben und sich als Frauen, Männer oder mit einer anderen Geschlechtsidentität identifizieren, organisierten eine gemeinsame Grillparty. Das Ziel dieser Zusammenkunft war es, die Gemeinschaft zu stärken und einander besser kennenzulernen, sodass sich alle Nachbarinnen, Nachbarn und Menschen aus der Nachbarschaft, unabhängig von ihrer Geschlechtsidentität, wohlfühlen und ein verbindendes Miteinander schaffen können."
1254,Die Nachbar*innen luden zum Grillfest ein.,"Die Nachbarinnen, Nachbarn und alle anderen Personen, die in der Nachbarschaft leben und sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, luden herzlich zu einem Grillfest ein."
1255,In unserer NachbarInschaft gibt es viele freundliche Menschen.,"In unserer Nachbarschaft gibt es eine Vielzahl von freundlichen Menschen, unabhängig von ihren Geschlechtsidentitäten. Dazu zählen sowohl Frauen, Männer als auch Personen, die sich als nicht-binär oder mit einer anderen Geschlechtsidentität definieren. Alle diese Individuen tragen zu einer einladenden und herzlichen Atmosphäre in unserer Gemeinschaft bei."
1256,Dey ist ein:e direkte: Nachfahr:in der berühmten Entdeckerperson.,"Dey ist eine Person, die als direkte Nachfahrin, direkter Nachfahre oder als Person mit einer anderen Geschlechtsidentität von der berühmten Entdeckerperson abstammt. Diese vielschichtige Identität schließt alle Geschlechtsidentitäten ein und erkennt die Vielfalt in der Art und Weise an, wie Menschen ihre Zugehörigkeit und Abstammung betrachten."
1257,"Die Nachfolge wurde sorgfältig ausgewählt, um die Kontinuität in der Führung des Unternehmens zu gewährleisten und neue Impulse zu setzen.","Die Person oder die Personen, die für die Nachfolge in der Unternehmensführung sorgfältig ausgewählt wurden, zeichnen sich dadurch aus, dass sie sowohl die Kontinuität in der Leitung des Unternehmens sicherstellen können als auch in der Lage sind, frische Impulse und innovative Ideen einzubringen. Diese Entscheidung berücksichtigt alle Geschlechtsidentitäten und -ausdrücke und stellt sicher, dass die künftige Führungskraft oder die künftigen Führungskräfte, unabhängig davon, ob sie sich als weiblich, männlich oder nicht-binär identifizieren, über das erforderliche Fachwissen und die Fähigkeiten verfügen, um das Unternehmen erfolgreich zu leiten."
1258,"... Dey übernimmt übergangsweise die Leitung, bis ein*e Nachfolger*in gefunden wurde.","Dey übernimmt übergangsweise die Leitung des Unternehmens, bis eine Person oder mehrere Personen, die als Nachfolgerin, Nachfolger oder in einer anderen Geschlechtsidentität verstanden werden können, gefunden wurden. Dies schließt alle Geschlechtsidentitäten ein, die verschiedene Formen der Identifikation jenseits traditioneller Kategorien vertreten, sodass die zukünftige Leitung sowohl weibliche, männliche als auch nichtbinäre oder geschlechtsdiverse Personen umfassen kann."
1259,"Dier Nächste in der Schlange wurde gebeten, die Leitung des Meetings zu übernehmen, als dier Vorsitzende unerwartet abwesend war.","Die Person, die als Nächste in der Schlange steht, wurde gebeten, die Leitung des Meetings zu übernehmen, als die Person, die den Vorsitz innehatte, unerwartet abwesend war. Diese Einladung zur Übernahme der Verantwortung galt unabhängig von der Geschlechtsidentität, mit der sich diese Person identifiziert, sei es als Frau, Mann oder als jemand, der sich außerhalb dieser traditionellen Kategorien bewegt."
1260,"... Die nächste Person, bitte!","'Die nächste Person, die in dieser Reihe oder an diesem Ort wartet, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität identifiziert, wird nun aufgefordert, ihre Anliegen oder Fragen vorzubringen.'"
1261,Dier Nationalsozialist/in propagierte extremistische Ideologien.,"„Die Person, die dem Nationalsozialismus angehört oder sich mit dieser Ideologie identifiziert, propagierte extremistische Überzeugungen, unabhängig von ihrer Geschlechtsidentität, sei es als Mann, Frau oder in einer anderen Geschlechtsidentität."""
1262,Die Kinder der Geschwister verbrachten den Nachmittag gemeinsam im Park und genossen dabei das sonnige Wetter und ihre Zeit miteinander.,"Die Kinder, die zu den Geschwistern gehören, sowie alle anderen Personen, die in einer familiären Beziehung zu diesen Geschwistern stehen und deren Geschlechtsidentität vielfältig ist, verbrachten den Nachmittag gemeinsam im Park. Dabei genossen sie das sonnige Wetter und die wertvolle Zeit, die sie miteinander verbringen konnten, unabhängig von Geschlecht oder Geschlechtsidentität."
1263,Dier Neukund*in wurde herzlich im Unternehmen begrüßt und erhielt eine umfassende Einführung *in die angebotenen Produkte und Dienstleistungen.,"Die neue Kundin, der neue Kunde und alle weiteren Personen, die als Neukund*innen in unserem Unternehmen willkommen geheißen wurden, konnten sich auf eine herzliche Begrüßung freuen. Zudem erhielten sie eine umfassende Einführung in die angebotenen Produkte und Dienstleistungen, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht und ihre Geschlechtsidentität definieren oder identifizieren. In unserem Unternehmen legen wir großen Wert auf Diversität und Inklusion und möchten sicherstellen, dass alle Neukund*innen sich wertgeschätzt und gut informiert fühlen."
1264,"Dey ist keine Person, die sich viel beschwert.","'Dey ist keine Person, die sich häufig über verschiedene Angelegenheiten beschwert, unabhängig davon, wie Dey sich in Bezug auf Geschlecht und Geschlechtsidentität definiert. Dey umfasst damit eine Vielfalt von Geschlechtsidentitäten und hält es vorziehbar, Anliegen auf konstruktive Weise zu kommunizieren.’"
1265,Die notariell arbeitende Person beglaubigte die rechtsgültigen Dokumente und sorgte für eine reibungslose Abwicklung des Immobilienkaufs.,"Die Person, die im notariellen Bereich tätig ist und die Verantwortung hat, Dokumente rechtlich zu beglaubigen, hat die rechtsgültigen Dokumente sorgfältig überprüft und sichergestellt, dass alles ordnungsgemäß verläuft, um einen reibungslosen Ablauf des Immobilienkaufs zu gewährleisten, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert."
1266,"Dier Notärzt_in eilte zum Unfallort, um dier Verletzte_n sofortige medizinische Hilfe zu leisten und Leben zu retten.","Die Notärztin, der Notarzt sowie alle weiteren Personen, die in der Notfallmedizin tätig sind und sich vielfältig in Bezug auf ihre Geschlechtsidentität definieren, eilten zum Unfallort, um den verletzten Personen sofortige medizinische Hilfe zu leisten und Leben zu retten. Dies schließt sowohl Menschen ein, die sich als Frauen oder Männer identifizieren, als auch solche, die sich als nicht-binär, genderqueer oder auf andere Weise außerhalb der traditionellen Geschlechterkategorien verstehen."
1267,Dier NutzerIn konnte mithilfe der einfach zu nutzenden App schnell und einfach auf eine Vielzahl von Informationen zugreifen und deren Aufgaben effizient erledigen.,"Die Person, die die App nutzt, unabhängig davon, ob sie sich als Nutzer, Nutzerin oder mit einer anderen Geschlechtsidentität identifiziert, konnte mithilfe der benutzerfreundlichen Anwendung schnell und unkompliziert auf eine Vielzahl von Informationen zugreifen und ihre Aufgaben effizient erledigen. Es spielt keine Rolle, wie die Person sich in Bezug auf Geschlecht und Geschlechtsidentität versteht; die App wurde so gestaltet, dass sie für alle Menschen zugänglich und einfach zu bedienen ist."
1268,"
Die Nutzer/innen waren begeistert von den neuen Funktionen der Software und teilten ihre positiven Erfahrungen /in den sozialen Medien.","Die Personen, die die Software nutzen, darunter Nutzerinnen, Nutzer, sowie alle anderen Individuen, die sich in Bezug auf ihre Geschlechtsidentität nicht ausschließlich als männlich oder weiblich identifizieren, waren begeistert von den neuen Funktionen der Software. Sie teilten ihre positiven Erfahrungen in den sozialen Medien, unabhängig davon, ob sie sich als Frau, Mann oder als jemand mit einer anderen Geschlechtsidentität verstehen."
1269,... Nutzer*in des Angebots werden bevorzugt.,"'Personen, die das Angebot nutzen, einschließlich Nutzerinnen, Nutzer und all jene, die sich mit unterschiedlichen Geschlechtsidentitäten identifizieren und Teil der Community oder Zielgruppe sind, werden bevorzugt.'"
1270,... Wie viele Nutzer_innen hat das Fitnessstudio?,"'Wie viele Personen, die das Fitnessstudio nutzen und sich möglicherweise als Frauen, Männer oder mit einer anderen Geschlechtsidentität identifizieren, haben sich dort angemeldet und trainieren regelmäßig? Diese Frage schließt alle ein, die Teil der Gemeinschaft sind, unabhängig von ihrer Geschlechtsidentität oder deren Ausdruck.'"
1271,Die NutzerIndaten werden sicher auf dem Server gespeichert.,"Die Nutzenden, unabhängig von ihrer Geschlechtsidentität, die auf die Daten und Informationen zugreifen oder diese verwenden, haben die Gewissheit, dass ihre Daten sicher auf dem Server gespeichert werden. Dies gilt für alle Personen, die sich als Mann, Frau oder außerhalb dieser traditionellen Geschlechtskategorien identifizieren und auf die Plattform zugreifen."
1272,Bitte prüfen Sie Ihre NutzerIneingabe auf Fehler.,"'Die Person, die das Nutzer:innenformular ausgefüllt hat, wird gebeten, ihre Eingabe auf Fehler zu überprüfen, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität identifiziert, sei es als Frau, Mann oder in einer anderen Geschlechtsidentität.'"
1273,Die Nutzer*inentgelte für den Service sind moderat.,"Die Personen, die den Service nutzen, einschließlich aller Nutzerinnen, Nutzer und aller weiteren Individuen, die sich mit unterschiedlichen Geschlechtsidentitäten identifizieren und ihn in Anspruch nehmen, finden die entsprechenden Nutzerentgelte für diesen Service als moderat."
1274,Die Nutzer/ingemeinde des Forums wächst stetig.,"'Die Gemeinschaft der Personen, die das Forum nutzen, wächst stetig. Dazu gehören sowohl Personen, die sich als Nutzerin oder Nutzer identifizieren, als auch solche, die sich mit unterschiedlichen Geschlechtsidentitäten identifizieren, einschließlich, aber nicht beschränkt auf nicht-binäre Menschen, Genderqueer-Personen und alle anderen Geschlechtsidentitäten. Diese Vielfalt an Mitgliedern trägt zur wachsenden Nutzerbasis des Forums bei.'"
1275,Wir haben eine neue Nutzungsgruppe für Anfangende erstellt.,"Wir haben eine neue Nutzungsgruppe für alle Personen, die am Anfang ihrer Nutzererfahrung stehen, unabhängig von ihrer Geschlechtsidentität, Geschlechterrolle oder ihrem Hintergrund, erstellt. Diese Gruppe richtet sich an alle Interessierten, die sich neugierig und engagiert mit dem Thema auseinandersetzen möchten, gleichgültig, ob sie sich als Frau, Mann, nicht-binär oder mit einer anderen Geschlechtsidentität identifizieren."
1276,Das Nutzer/inhandbuch erklärt alle Funktionen der Software.,"Das Nutzerinnen- und Nutzerhandbuch, das speziell für alle Personen erstellt wurde, die die Software verwenden - egal ob diese Personen sich als Frau, Mann, nicht-binär, genderfluid oder mit einer anderen Geschlechtsidentität identifizieren - erklärt umfassend alle Funktionen der Software und unterstützt somit jede*r Einzelne bei der optimalen Nutzung."
1277,"Um den Service zu nutzen, müssen Sie ein Konto erstellen.","Um den Service nutzen zu können, ist es erforderlich, dass jede Person, unabhängig von ihrer Geschlechtsidentität oder ihrem Geschlecht, ein Konto erstellt. Dies schließt alle Menschen ein, die sich als Männer, Frauen oder außerhalb dieser traditionellen Kategorien identifizieren, sowie alle, die sich als nicht-binär, genderqueer, agender oder mit einer anderen Geschlechtsidentität verstehen."
1278,Die Nutzer:inliste zeigt alle registrierten Mitglieder.,"Die Nutzer:innenliste zeigt alle registrierten Mitglieder, einschließlich der Personen, die sich als Männer, Frauen oder mit einer anderen Geschlechtsidentität identifizieren, sowie jener, die sich möglicherweise nicht in die traditionellen Geschlechterkategorien einordnen. Sie umfasst somit alle Individuen, die in unserem System registriert sind und deren Identität vielfältig und einzigartig ist."
1279,Die Webseite ist sehr nutzerInorientiert gestaltet.,"Die Webseite ist so gestaltet, dass sie auf die Bedürfnisse und Vorlieben aller Nutzerinnen, Nutzer und aller anderen Personen, die die Webseite besuchen, Rücksicht nimmt. Dies schließt Menschen ein, die sich als Frauen, Männer und Personen mit verschiedenen Geschlechtsidentitäten identifizieren, unabhängig von ihren individuellen Erfahrungen und Perspektiven. Die Gestaltung der Webseite zielt darauf ab, eine ansprechende und zugängliche Benutzererfahrung für jede Person zu gewährleisten, die sich für den Inhalt interessiert, unabhängig von ihrer Geschlechtsidentität."
1280,Unsere höchste Priorität ist die NutzerInzufriedenheit.,"Unsere höchste Priorität ist die Zufriedenheit aller Nutzerinnen, Nutzer und aller weiteren Personen, die unsere Dienstleistungen in Anspruch nehmen, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht und ihre Geschlechtsidentität definieren oder wahrnehmen. Wir streben danach, ein Umfeld zu schaffen, in dem jede Person, unabhängig von Geschlechtsidentität oder -ausdruck, sich wohlfühlt und ihre Bedürfnisse erfüllt sieht."
1281,Der Erfolg des Originals führte schnell zu vielen Nachahmer_innen.,"'Der Erfolg des Originals führte rasch dazu, dass viele Personen, unabhängig von ihrer Geschlechtsidentität oder ihrem Geschlecht, die ähnliche Produkte oder Werke kreierten und sich als Nachahmer oder Nachahmerinnen identifizierten oder vielleicht auch eine andere Identität annahmen, die nicht in die traditionellen Kategorien passt.'"
1282,"... Dey tat es, um Nachahmer:innen zu ähnlichen Taten anzustiften.","Die Person, die diese Handlung vollzogen hat, tat dies, um Menschen, die sich in ähnlicher Art und Weise verhalten möchten, zu inspirierten Handlungen zu ermutigen, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität. Dazu zählen sowohl Nachahmerinnen und Nachahmer als auch all jene, die sich als nicht-binär, genderfluid oder mit einer anderen Geschlechtsidentität identifizieren."
1283,Das NachbarInhaus wurde kürzlich renoviert.,"Das Gebäude, in dem die Nachbarinnen, Nachbarn und alle anderen Personen wohnen, die möglicherweise unterschiedliche Geschlechtsidentitäten haben, wurde kürzlich renoviert. Dies umfasst alle Bewohner:innen, egal ob sie sich als weiblich, männlich oder als nicht-binär und in einer anderen Geschlechtsidentität identifizieren."
1284,Die Nachkommen der kunstschaffenden Person setzten ihr Werk fort.,"Die Nachkommen der Person, die im Bereich der Kunst tätig ist und sich mit verschiedenen Geschlechtsidentitäten identifizieren kann, einschließlich, aber nicht beschränkt auf Frauen, Männer, nicht-binäre und weitere Identitäten, setzen das künstlerische Werk dieser inspirierenden Person fort."
1285,Die Nachfrager*innen interessierten sich besonders für nachhaltige Produkte.,"Die Personen, die in der Rolle der Nachfrager*innen agieren und sich auf unterschiedliche Weise kennenlernen und organisieren, zeigen besonderes Interesse an nachhaltigen Produkten. Diese Gruppe umfasst Menschen aller Geschlechtsidentitäten, einschließlich, aber nicht beschränkt auf Frauen, Männer, nicht-binäre Personen, Genderqueer-Menschen und andere, die sich mit verschiedenen Identitäten hinsichtlich Geschlecht identifizieren."
1286,"Die nachrückende Person übernahm die Position im Vorstand, nachdem ein Mitglied ausgeschieden war, und brachte frischen Wind in das Gremium.","Die Person, die nachrückte und somit die Position im Vorstand übernahm, nachdem ein Mitglied aus dem Gremium ausgeschieden war, brachte frischen Wind in die Gruppe. Diese Person kann sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren und unabhängig von gesellschaftlichen Geschlechterrollen neue Perspektiven und Ideen in die Arbeit des Vorstands einbringen."
1287,Die NachtschwärmerInnen tanzten bis in die frühen Morgenstunden.,"Die Personen, die zu den Nachtschwärmern zählen und sich in verschiedenen Geschlechtsidentitäten ausdrücken, wie beispielsweise Frauen, Männer und nicht-binäre Menschen, tanzten bis in die frühen Morgenstunden, wobei sie die Vielfalt ihrer individuellen Identitäten und Ausdrucksformen feierten."
1288,Die NäherInnen arbeiteten fleißig in der Fabrik.,"Die Personen, die in der Fabrik als Näherinnen, Näher und in weiteren Rollen im Bereich der Textilbearbeitung tätig sind, sowie alle anderen Beschäftigten, die sich mit unterschiedlichen Geschlechtsidentitäten identifizieren und in diesem Berufsfeld arbeiten, leisteten engagierte und fleißige Arbeit."
1289,Die närrische Person brachte alle zum Lachen.,"Die Person, die in diesem Moment als närrisch wahrgenommen wird und mit ihrem Humor und ihrer kreativen Art alle Anwesenden zum Lachen brachte, ist unabhängig von ihrer Geschlechtsidentität, sei es Frau, Mann oder eine nicht-binäre oder andere Geschlechtsidentität, eine Quelle der Freude und des Frohsinns für die Gruppe."
1290,Die Narr*innen freuen sich auf Karneval.,"Die Personen, die sich als Narren oder Narrinnen identifizieren, sowie alle anderen Menschen, die sich mit dieser Rolle im Rahmen des Karnevals identifizieren, unabhängig von ihrer Geschlechtsidentität, freuen sich auf die festlichen Events und Feierlichkeiten, die im Rahmen des Karnevals stattfinden."
1291,Das Nationalteam feierte ihren Sieg im Finale des Turniers und brachte damit stolz den Pokal zurück in ihr Heimatland.,"Das Nationalteam, bestehend aus Athletinnen, Athleten und allen weiteren Personen, die sich in dieser Sportmannschaft engagieren und sich mit verschiedenen Geschlechtsidentitäten identifizieren, feierte seinen Sieg im Finale des Turniers. Damit brachte die Gruppe stolz den Pokal zurück in ihr Heimatland, um die Vielfalt und das Engagement aller Teammitglieder zu würdigen und die gesamte Nation zu inspirieren."
1292,Dey ist ein echter Naturmensch und verbringt viel Zeit im Wald.,"Dey, eine Person, die sich als Teil der Natur identifiziert und eine tiefe Verbindung zur Umwelt spürt, verbringt viel Zeit im Wald und genießt es, die ruhige Atmosphäre und die Vielfalt der Pflanzen und Tiere zu erleben. Diese Person schätzt die Schönheit der Natur und findet in diesen Momenten der Stille und der Beobachtung Erfüllung, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität versteht."
1293,Meine Nebenperson im Kino hat laut geschnarcht.,"Die Person, die neben mir im Kino saß, hat während des Films laut geschnarcht. Diese Person könnte sich als Mann, Frau oder mit einer anderen Geschlechtsidentität verstehen und ist Teil der Vielzahl von individuellen Erfahrungen, die unsere Gesellschaft prägen."
1294,"Der Netzbetrieb hat angekündigt, das Internet auszubauen.","Der Netzbetrieb hat angekündigt, dass die Verantwortlichen und alle weiteren Mitarbeitenden in diesem Bereich daran arbeiten werden, das Internet auszubauen. Dies umfasst alle Fachkräfte, Technikerinnen, Techniker sowie Personen in administrativen und unterstützenden Rollen, unabhängig davon, ob sie sich als Frauen, Männer oder mit einer anderen Geschlechtsidentität identifizieren. Somit wird sichergestellt, dass der Ausbau des Internets von einem vielfältigen Team durchgeführt wird, das unterschiedliche Perspektiven und Erfahrungen einbringt."
1295,Unser Unternehmen arbeitet eng mit mehreren Netzwerkbeteiligten zusammen.,"Unser Unternehmen kooperiert eng mit einer Vielzahl von Netzwerkbeteiligten, zu denen Menschen gehören, die sich in unterschiedlichen Geschlechtsidentitäten verorten. Diese Netzwerkbeteiligten umfassen Personen, die sich als Frauen, Männer oder nicht-binär identifizieren sowie solche, die sich in einer weiteren Geschlechtsidentität definieren. Gemeinsam arbeiten wir daran, unsere Ziele zu erreichen und ein vielfältiges, respektvolles Miteinander zu fördern."
1296,Dier Neueinsteiger_in wurde herzlich im Team begrüßt.,"Die Person, die neu im Team ist und sich möglicherweise als Neueinsteiger oder Neueinsteigerin identifiziert oder eine andere Geschlechtsidentität hat, wurde herzlich von allen Teammitgliedern willkommen geheißen. In dieser freundlichen Atmosphäre des Teams ist es wichtig, dass jede Person, unabhängig von ihrer Geschlechtsidentität, sich anerkannt und ermutigt fühlt."
