inclusive_form,gendered,predicted
"Die Person, die als Sozialleistungsträgerin oder Sozialleistungsträger tätig ist, kümmert sich um die Auszahlung von Sozialleistungen an bedürftige Menschen. Dies schließt alle Personen ein, die in dieser Rolle arbeiten, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren. Die Sozialleistungsträgerin oder der Sozialleistungsträger und alle weiteren Mitarbeitenden, die in dieser Funktion tätig sind, setzen sich engagiert dafür ein, dass die zur Unterstützung der Bedürftigen notwendigen Leistungen rechtzeitig bereitgestellt werden und alle Anspruchsberechtigten die Unterstützung erhalten, die sie benötigen.",Dier SozialleistungsträgerIn kümmert sich um die Auszahlung von Sozialleistungen an Bedürftige.,"Die Person, die als Sozialleistungsträger oder Sozialleistungsträger tätig ist, kümmert sich um die Auszahlung von Sozialleistungen an bedürftige Menschen. Dies schließt alle Personen ein, die in diese Rolle arbeiten, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren. Die Person, die als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren, kümmert sich um die Auszahlung von Sozialleistungen an bedürftige Menschen. Dies schließt alle Personen ein, die in diese Rolle arbeiten, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren. Die Person, die in diese Rolle tätig sind, tätig ist, engagiert dafür ein, dass die Unterstützung der Bedürftigen notwendigen Leistungen rechtzeitig bereitgestellt werden und alle Anspruchsberechtigten die Unterstützung, die benötigen."
"Die Person, die eine Leidenschaft für den Modellbau hat, verbringt jedes Wochenende damit, Modellflugzeuge zusammenzubauen, unabhängig davon, ob sie sich als Mann, Frau oder einem anderen Geschlecht identifiziert. Diese Person ist ein Enthusiast oder eine Enthusiastin des Modellbaus und teilt dabei eventuell auch die Interessen mit anderen, die sich im Spektrum der Geschlechtsidentitäten bewegen und somit unterschiedliche Erfahrungen und Perspektiven in diese kreative Beschäftigung einbringen.",Dier ModellbauliebhaberIn verbringt jedes Wochenende mit dem Zusammenbauen von Modellflugzeugen.,"Die Person, die eine Leidenschaft für den Modellbau hat, verbringt jedes Wochenende damit, Modellflugzeuge zusammenzubauen, unabhängig davon, ob sie sich als Mann, Frau oder einem anderen Geschlechtsidentität identifiziert. Diese Person ist ein Enthusiast oder eine Enthusiastin des Modellbaus, unabhängig davon, ob sie sich als Mann, Frau oder einem anderen Geschlechtsidentität identifiziert. Diese Person teilt dabei eventuell auch die Interessen mit anderen, die sich im Spektrum der Geschlechtsidentitäten bewegen und somit unterschiedliche Erfahrungen und Perspektiven in diese kreative Beschäftigung einbringen."
"Die Person, die als Designer oder Designerin arbeitet und die für die kreative Gestaltung verantwortlich ist, entwarf eine neue Kollektion für die Modenschau. Dies umfasst alle Individuen, die in diesem Berufsfeld tätig sind und sich dabei als Mann, Frau oder mit einer anderen Geschlechtsidentität identifizieren, sowie alle, die möglicherweise nicht in die traditionellen Kategorien passen oder eine non-binäre Geschlechtsidentität haben.",Dier Designer_in entwarf eine neue Kollektion für die Modenschau.,"Die Person, die als Designer oder Designerin arbeitet und die für die kreative Gestaltung verantwortlich ist, entwarf eine neue Kollektion für die Modenschau. Diese Person arbeitet und sich selbst als Mann, Frau oder mit einer anderen Geschlechtsidentität identifizieren, sowie alle, die möglicherweise nicht in die traditionellen Kategorien passen oder eine non-binäre Geschlechtsidentität haben. Diese Person kann sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifizieren, und hat sich in diesem Berufsfeld tätig als Mann, Frau oder mit einer anderen Geschlechtsidentität identifizieren, sowie alle, die möglicherweise nicht in die traditionellen Kategorien passen oder eine non-binäre Geschlechtsidentität haben."
"„Die Person, die über umfangreiche Kenntnisse und Fähigkeiten im Tennis verfügt und an diesem Tennisturnier teilgenommen hat, unabhängig davon, ob sie sich als Mann, Frau, nicht-binär oder mit einer anderen Geschlechtsidentität identifiziert, gewann das Tennisturnier.“",Dier Profi gewann das Tennisturnier.,"„Die Person, die über umfangreiche Kenntnisse und Fähigkeiten im Tennis verfügt und an diesem Tennisturnier teilgenommen teilgenommen hat, unabhängig davon, ob sie sich als Mann, Frau oder mit einer anderen Geschlechtsidentität identifiziert, ob sie sich als Mann, Frau, nicht-binär oder mit einer anderen Geschlechtsidentität identifiziert, gewann das Tennisturnier.“"
"Die Personen, die in einer Bildungseinrichtung eingeschrieben sind und sich als Studierende identifizieren, unabhängig davon, ob sie sich als Studentinnen, Studenten oder mit einer anderen Geschlechtsidentität definieren, diskutierten begeistert über das neue Forschungsprojekt. Sie bringen verschiedene Perspektiven und Erfahrungen in die Diskussion ein, was die Auseinandersetzung mit dem Thema bereichert.",Die Student/innen diskutierten über das neue Forschungsprojekt.,"Die Personen, die in einer Bildungseinrichtung eingeschrieben sind, unabhängig davon, ob sie sich als Studierende, Studierende oder mit einer anderen Geschlechtsidentität definieren, diskutierten begeistert über das neue Forschungsprojekt. Sie bringen verschiedene Perspektiven und Erfahrungen in die Diskussion ein, was die Auseinandersetzung mit dem Thema bereichert. Sie bringen verschiedene Perspektiven und Erfahrungen in die Diskussion ein, um die Diskussion mit dem Thema bereichert zu schaffen."
"Die Personen, die als Architekten und Architektinnen tätig sind, sowie alle weiteren Fachleute aus dem Bereich der Architektur, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität definieren, arbeiteten gemeinsam an dem großen Bauprojekt.",Die Architekt/innen arbeiteten gemeinsam an dem großen Bauprojekt.,"Die Personen, die als Architekten und Architektinnen tätig sind, sowie alle weiteren Fachleute aus dem Bereich der Architektur tätig sind, unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität definieren, arbeiteten gemeinsam an dem großen Bauprojekt. Diese Personen, die als Architekten und Architektinnen tätig sind, sind unabhängig davon, wie sie sich in Bezug auf Geschlecht und Geschlechtsidentität definieren, arbeiteten gemeinsam an dem großen Bauprojekt."
"„Eine Person, die in der Rolle eines betrieblichen Mentor oder einer betrieblichen Mentorin tätig ist, hat den neuen Mitarbeitenden, die in das Unternehmen eingetreten sind und möglicherweise unterschiedliche Geschlechtsidentitäten repräsentieren, dabei geholfen, sich in ihre Aufgaben und Verantwortlichkeiten einzuarbeiten. Diese Unterstützung umfasst sowohl die fachliche Einarbeitung als auch die Förderung eines inklusiven Arbeitsumfelds, in dem sich alle Personen, unabhängig von ihrer Geschlechtsidentität, wohlfühlen und entfalten können.“","Ein_e betriebliche:r Mentor_in half den neuen Angestellten, sich einzuarbeiten.","„Ein Person, die in der Rolle eines betrieblichen Mentor oder einer betrieblichen Mentor tätig ist, hat den neuen Mitarbeitenden, die in das Unternehmen ausgetreten sind und möglicherweise unterschiedliche Geschlechtsidentitäten repräsentieren, erlauben, sich in ihre Aufgaben und Verantwortlichkeiten einzuarbeiten. Diese Unterstützung umfasst sowohl die fachliche Einarbeitung als auch die Förderung eines inklusiven Arbeitsumfelds, in dem sich alle Personen, unabhängig von ihrer Geschlechtsidentität, wohlfühlen und entfalten können.“ „Ein Person, die in der Rolle eines betrieblichen Mentors oder einer betrieblichen Mentorin tätig ist, hat den neuen Mitarbeitenden, die in das Unternehmen eingetreten sind und möglicherweise unterschiedliche Geschlechtsidentitäten repräsentieren, unabhängig von ihrer Geschlechtsidentität, wohlfühlen und entfalten können.““ „Ein Person, die in der Rolle eines betrieblichen Mentors oder einer betrieblichen Mentorins tätig ist, zählt zu den individuellen Bedürfnissen und Bedürfnissen von ihnen, unabhängig von ihrer Geschlechtsidentität, wohlfühlen und entfalten können.““ „Ein Person, die in der Rolle eines betrieblichen Mentors oder einer betrieblichen Mentorins tätig ist, ist es wichtig, dass alle Personen, unabhängig von ihrer Geschlechtsidentität, unabhängig von ihrer Geschlechtsidentität, wohlfühlen und entfalten können.““ „Ein Person, die in der Rolle eines betrieblichen Mentors oder einer betrieblichen Mentorins tätig ist, ist es wichtig, dass alle Menschen, unabhängig von ihrer Geschlechtsidentität, unabhängig von ihrer Geschlechtsidentität, ob sie sich als Frau, Mann oder nicht-binär, identifiziert.““ „Ein Person, die in der Rolle eines betrieblichen Mentors tätig ist, ist es, dass die individuellen Bedürfnisse und Identitäten unserer persönlichen Erfahrungen und Erfahrungen repräsentiert und repräsentiert, hat sowohl die fachliche Einarbeitung als auch die Förderung eines inklusiven Arbeitsumfelds, in dem sich alle Personen, unabhängig von ihrer Geschlechtsidentität, unabhängig von ihrer Geschlechtsidentität, wohlfühlen und entfalten können."
"Es ist erforderlich, dass jede Person, die ein Studium abgeschlossen hat oder sich in der Abschlussphase ihres Studiengangs befindet, ein Praktikum zu absolvieren, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert. Dies gilt für alle, die die Bezeichnung Absolventin, Absolvent oder eine sonstige Form der Qualifikation anstreben, um wertvolle praktische Erfahrungen zu sammeln.",Es ist Pflicht ein AbsolventInpraktikum zu machen,"'Es ist erforderlich, dass jede Person, die ein Studium abgeschlossen hat oder sich in der Abschlussphase ihres Studiengangs befindet, ein Praktikum zu absolvieren, unabhängig davon, ob sie sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifiziert. Diese gilt für alle, die Bezeichnung Absolvent, Absolvent oder eine sonstige Form der Qualifikation anstreben, um wertvolle praktische Erfahrungen zu sammeln.'"
"Die Person, die für das Layout des Magazins verantwortlich ist, hat das Magazin so gestaltet, dass es sowohl ansprechend als auch übersichtlich für alle Lesenden ist, unabhängig von ihrer Geschlechtsidentität oder Geschlechtszugehörigkeit. Dies umfasst Leserinnen, Leser und alle weiteren Personen, die sich möglicherweise außerhalb der traditionellen Geschlechterkategorien identifizieren oder sich in einer vielfältigen Art und Weise verstehen.","Dier Layouter_in gestaltete das Magazin so, dass es ansprechend und übersichtlich für die Leser_innen war.","Die Person, die für das Layout des Magazin verantwortlich ist, hat das Magazin so gestaltet, dass es sowohl ansprechend als auch übersichtlich für alle Lesenden ist, unabhängig von ihrer Geschlechtsidentität oder Geschlechtszugehörigkeit. Diese Person, die für das Layout des Magazins verantwortlich ist, ist unabhängig von ihrer Geschlechtsidentität oder Geschlechtszugehörigkeit. Diese Person, die in der Lage ist, identifizieren oder sich in einer vielfältigen Art und Weise verstehen. Diese Person kann sich in diverse Weise verstehen, unabhängig von ihrer Geschlechtsidentität oder Geschlechtsidentität."
"Die Person, die als Coach oder Trainer:in tätig ist und das Team vor dem wichtigen Spiel motivierte, unabhängig davon, ob sie sich als Frau, Mann, nicht-binär oder mit einer anderen Geschlechtsidentität identifiziert, inspirierte alle Mitglieder des Teams, um ihr Bestes zu geben und sich gemeinsam auf das bevorstehende Spiel vorzubereiten.",Dier Coach:in motivierte das Team vor dem wichtigen Spiel.,"Die Person, die als Coach oder Trainerin tätig ist und das Team vor dem wichtigen Spiel motivierte, unabhängig davon, ob sie sich als Frau, Mann, nicht-binär oder mit einer anderen Geschlechtsidentität identifiziert, inspirierte alle Mitglieder des Teams, um ihr Bestes zu geben und sich gemeinsam auf das bevorstehende Spiel vorzubereiten. Die Person, die als Coach oder Trainerin tätig ist, tätig ist und hat sich mit unterschiedlichen Geschlechtsidentitäten und identifiziert, inspirierte alle Mitglieder des Teams, um ihr Bestes zu geben und sich gemeinsam auf das bevorstehende Spiel vorzubereiten."
"Die Personen, die in dem Dorf leben und sich möglicherweise als Dorfbewohner, Dorfbewohnerinnen oder mit anderen Geschlechtsidentitäten identifizieren, glaubten, dass die ältere Person, unabhängig von ihrer Geschlechtsidentität, als jemand angesehen wurde, der den traditionellen Vorstellungen oder Mythen über Hexen entspricht.","Die Dorfbewohner/innen glaubten, die alte Person sei ein/e Hexe:r.","Die Personen, die in dem Dorf leben und sich möglicherweise als Dorfbewohner, Dorfbewohnerinnen oder mit anderen Geschlechtsidentitäten identifizieren, glaubten, dass die ältere Person, unabhängig von ihrer Geschlechtsidentität, angesehen wurde, der den traditionellen Vorstellungen oder Mythen über Hexen entspricht. Those Personen, die in der Dorf leben und sich in dieser Lage identifizieren, glaubten, dass die ältere Person, unabhängig von ihrer Geschlechtsidentität, unabhängig von ihrer Geschlechtsidentität, als jemand angesehen wurde, die den traditionellen Vorstellungen oder Mythen über Hexen entspricht."
"Die Personen, die sich verlobt haben und ihre Zuneigung und Verbundenheit miteinander feiern möchten, trugen funkelnde Diamantringe an ihren Fingern, unabhängig davon, ob sie sich als Männer, Frauen oder mit einer anderen Geschlechtsidentität identifizieren.",Die Verlobten trugen funkelnde Diamantringe an ihren Fingern.,"Die Personen, die sich verlobt haben und ihre Zuneigung und Verbundenheit miteinander feiern möchten, trugen funkelnde Diamantringe an ihren Fingern, unabhängig davon, ob sie sich als Männer, Frauen oder mit einer anderen Geschlechtsidentität identifizieren. ob sie sich als Männer, Frauen oder mit einer anderen Geschlechtsidentität identifizieren."
"Um 15 Uhr wird bekannt gegeben, welche Person, unabhängig von ihrer Geschlechtsidentität, in dem Wettbewerb oder der Verlosung gewonnen hat. Dies können Menschen sein, die sich als Frauen, Männer oder nicht-binär identifizieren, sowie alle anderen Geschlechtsidentitäten, die an diesem Event teilgenommen haben.","... Um 15 Uhr wird bekannt gegeben, wer gewonnen hat.","Um 15 Uhr wird bekanntgegeben, welche Person, unabhängig von ihrer Geschlechtsidentität, unabhängig von ihrer Geschlechtsidentität, in dem Wettbewerb oder der Verlosung gewonnen hat. Diese Person, unabhängig von ihrer Geschlechtsidentität, identifizieren, sowie alle anderen Geschlechtsidentitäten, die an diesem Event teilgenommen haben. Diese Person kann sich unabhängig von ihrer Geschlechtsidentität, die sich als Frauen, Männer oder nicht-binär identifizieren, sowie alle anderen Geschlechtsidentitäten, die an diesem Event teilgenommen haben."
"Jede Person, unabhängig von ihrem Geschlecht oder ihrer Geschlechtsidentität, sei es als Frau, Mann oder eine nicht-binäre, genderqueere, agender oder in anderer Weise identifizierte Person, ist eingeladen, an der Veranstaltung teilzunehmen. Es ist uns wichtig, dass alle Menschen, die sich mit unterschiedlichen Geschlechtsidentitäten identifizieren oder nicht einer bestimmten Kategorie zuordnen, an diesem Event willkommen geheißen werden.",Jede:r kann an der Veranstaltung teilnehmen.,"Jeder Person, unabhängig von Geschlecht oder Geschlechtsidentität, sei es als Frau, Mann oder eine nicht-binäre, genderqueere, agender oder in anderer Weise identifiziert, sei es als Frau, Mann oder eine nicht-binäre, genderqueere, in anderer Weise identifizierte Person, sei es als Frau, Mann oder eine nicht-binäre, genderqueere oder in anderer Weise identifiziert, ist eingeladen, an der Veranstaltung teilzunehmen. Es ist uns wichtig, dass alle Menschen, die sich mit unterschiedlichen Geschlechtsidentitäten identifizieren oder nicht einer bestimmte Kategorie zuordnen, an diesem Event willkommen geheißen. Es ist wichtig, dass alle Menschen, die sich mit unterschiedlichen Geschlechtsidentitäten und Geschlechtsidentitäten zuordnen, die sich mit unterschiedlichen Geschlechtsidentitäten und identifizieren oder nicht einer bestimmte Kategorie zuordnen, an diesem Event willkommen geheißen."
"Die Teilnahmegebühr für den Yoga-Kurs, der für alle Personen offensteht, die Interesse an der Teilnahme haben – unabhängig davon, ob sie sich als Frau, Mann, nicht-binär oder mit einer anderen Geschlechtsidentität identifizieren – beträgt 50 Euro pro Monat. Dies gilt für jede Person, die Teil eines inklusiven und unterstützenden Umfelds werden möchte, um den Nutzen von Yoga für Körper und Geist zu erfahren.",Die Teilnahmegebühr für den Yoga-Kurs beträgt 50 Euro pro Monat.,"Diegebühr für den Yoga-Kurs, die für alle Personen, die in dieser individuellen Form agieren, offensteht, die Interesse an der Teilnahme haben – unabhängig davon, ob sie sich als Frau, Mann, nicht-binär oder mit einer anderen Geschlechtsidentität identifizieren – beträgt 50 Euro pro Monat. Diese gilt für jede Person, die Teil eines inklusiven und unterstützenden Umfelds werden möchte, um den Nutzen von Yoga für Körper und Geist zu erfahren."
"Von Seiten des Netzbetriebs wird gefordert, dass eine verbesserte Infrastruktur geschaffen wird, um schnelles Internet für alle Personen, unabhängig von Geschlechtsidentität oder -ausdruck, bereitzustellen. Dies umfasst die Bedürfnisse einer vielfältigen Nutzergruppe, zu der Menschen gehören, die sich als Frauen, Männer sowie non-binäre, genderqueere oder andere geschlechtliche Identitäten verstehen.",Von Seiten des Netzbetriebs wird eine bessere Infrastruktur für schnelles Internet gefordert.,"Von Seiten des Netzbetriebs wird gefordert, dass eine verbesserte Infrastruktur geschaffen wird, um schnelles Internet für alle Personen, unabhängig von Geschlechtsidentität oder -ausdruck, bereitzustellen, um schnelles Internet für alle Personen, unabhängig von Geschlechtsidentität oder -ausdruck, unabhängig von Geschlechtsidentität oder -ausdruck, bereitzustellen. Diese Infrastruktur umfasst die Bedürfnisse einer diverseen Nutzergruppe, zu der Menschen gehören, die sich als Frauen, Männer, non-binäre, genderqueere oder andere andere geschlechtliche Identitäten verstehen. Diese Infrastruktur umfasst die Bedürfnisse einer diverse Zielgruppen und Identitäten, die sich als Frauen, Männer, nicht-binäre oder andere geschlechtliche Identitäten verstehen."
"'Das kosmopolitische Auftreten der anwesenden Personen beeindruckte alle Teilnehmenden der Konferenz, unabhängig von deren Geschlechtsidentität, kulturellem Hintergrund oder persönlichen Erfahrungen. Diese Vielfalt an Perspektiven trug zu einer anregenden und inspirierenden Atmosphäre bei, die Menschen, die sich als Frauen, Männer oder mit anderen Geschlechtsidentitäten identifizieren, gleichermaßen ansprach und begeisterte.'",Deren kosmopolitisches Auftreten beeindruckte alle auf der Konferenz.,"'Das kosmopolitische Auftreten der anwesenden Personen beeindruckte alle Teilnehmenden der Konferenz, unabhängig von ihrer Geschlechtsidentität, kulturellem Hintergrund oder persönlichen Erfahrungen. Diese Vielfalt an Perspektiven trug zu einer anregenden und inspirierenden Atmosphäre bei, die Menschen, die sich als Frauen, Männer oder mit anderen Geschlechtsidentitäten identifizieren, gleichermaßen ansprach und begeisterte. Diese Vielfalt an Perspektiven trug zu einer anregenden und inspirierenden Atmosphäre bei, die Menschen, die sich als Frauen, Männer oder mit anderen Geschlechtsidentitäten identifizieren, gleichermaßen ansprach und begeisterte.'"
"'Die Person, die sich als Veganerin oder Veganer identifiziert, oder auch als jemand, der mit einer anderen Geschlechtsidentität lebt, bevorzugt eine Ernährung, die frei von tierischen Produkten wie Fleisch, Milch und Eiern ist. Dies schließt alle Menschen ein, die aus verschiedenen Gründen, sei es ethischen, gesundheitlichen oder Umweltüberlegungen, die Entscheidung getroffen haben, auf tierische Nahrungsmittel zu verzichten.'","Dier Veganer:in bevorzugt eine Ernährung, die frei von tierischen Produkten wie Fleisch, Milch und Eiern ist.","'Die Person, die sich als Veganerin oder Veganerin identifiziert, oder auch als jemand, der mit einer anderen Geschlechtsidentität lebt, bevorzugt eine Ernährung, die frei von tierischen Produkten wie Fleisch, Milch und Eiern ist. Dies schließt alle Menschen ein, die aus unterschiedlich Gründen, sei ethischen, gesundheitlichen oder Umweltüberlegungen, sei ethischen, gesundheitlichen oder Umweltüberlegungen, sei ethische, gesundheitlichen oder Umweltüberlegungen, sei ethische, gesundheitlichen oder Umweltüberlegungen, die Entscheidung getroffen haben, auf tierische Nahrungsmittel zu verzichten.'"
"Im Unterricht für Konfirmand:innen, in dem die Teilnehmenden, die verschiedenen Geschlechtsidentitäten angehören – seien sie männlich, weiblich, nichtbinär, genderqueer oder einer anderen Identität zuzuordnen – zusammenkommen, diskutierten die Jugendlichen, also alle jungen Menschen, die an diesem Unterricht teilnehmen, über ethische Fragen und religiöse Themen.",Im Konfirmand/inunterricht diskutierten die Jugendlichen über ethische Fragen und religiöse Themen.,"Im Unterricht für Konfirmandinnen, Konfirmand und all jenen Personen, die in der Bildung der Konfirmandinnen und Konfirmand tätig sind, in dem die Teilnehmenden, die verschiedenen Geschlechtsidentitäten angehören, die verschiedenen Geschlechtsidentitäten angehören – seien sie männlich, nichtbinär, genderqueer oder einer anderen Identität zuzuordnen, diskutierten die Jugendlichen, alle jungen Menschen, die an diesem Unterricht teilnehmen, über ethische Fragen und religiöse Themen. Im Unterricht für Konfirmandinnen, Konfirmanden und all jenen, die in dieser Ausbildung bildet, ob sie sich als Frauen, Männer oder nichtbinär identifizieren, hat sich mit unterschiedlichen Geschlechtsidentitäten und identifizieren, in ihrer Bildungseinrichtungen."
"Die Person, die als Reparateur oder Reparateurin tätig ist und sich auf unterschiedliche Weisen in Bezug auf Geschlechtsidentität identifizieren kann – sei es als Mann, Frau oder in einer non-binären oder genderfluiden Identität – kam vorbei, um die defekte Waschmaschine zu reparieren.","Dier Reparateur:in kam vorbei, um die defekte Waschmaschine zu reparieren.","Die Person, die als Reparateur oder Reparateur tätig tätig ist und sich auf unterschiedliche Weisen in Bezug auf Geschlechtsidentität identifizieren kann, sei es als Mann, Frau oder in einer non-binären oder genderfluiden Identität – kam vorbei, um die defekte Waschmaschine zu reparieren. Diese Person kann sich als Mann, Frau oder in einer non-binären oder genderfluiden Identität identifizieren, um die defekte Waschmaschine zu reparieren."
"Die Person, die als Student oder Studentin an einer höheren Bildungseinrichtung eingeschrieben ist, unabhängig davon, ob sie sich als männlich, weiblich oder mit einer anderen Geschlechtsidentität identifiziert, hat fleißig für ihre Prüfungen gelernt.",Dier Student_in lernte fleißig für deren Prüfungen.,"Die Person, die als Student oder Studentin an einer höheren Bildungseinrichtung eingeschrieben ist, unabhängig davon, ob sie sich als männlich, weiblich oder mit einer anderen Geschlechtsidentität identifiziert, hat fleißig für ihre Prüfungen gelernt, hat fleißig für ihre Prüfungen gelernt. Diese Person, die als Student oder Studentin identifiziert, hat gelernt, dass sie sich als männlich, weiblich oder mit einer anderen Geschlechtsidentität identifiziert."
"Dey hat sich entschieden, eine Laufbahn im öffentlichen Dienst als Beamt*in einzuschlagen, wobei dies für alle Personen geeignet ist, die in diesem Bereich arbeiten wollen, unabhängig davon, ob sie sich als weiblich, männlich oder als nicht-binär sowie in sonstigen Geschlechtsidentitäten verstehen.",Dey entschied sich für eine Beamt*innenlaufbahn im öffentlichen Dienst.,"Dey hat sich entschieden, eine Laufbahn im öffentlichen Dienst als Beamt*in einzuschlagen, wobei dies für alle Personen geeignet ist, die in diesem Bereich arbeiten wollen, unabhängig davon, ob sie sich als weiblich, männlich oder als nicht-binär sowie in sonstigen Geschlechtsidentitäten, die in diesem Bereich arbeiten wollen, unabhängig davon, männlich oder als nicht-binär sowie in sonstigen Geschlechtsidentitäten verstehen. Dey hat sich entschieden, eine Laufbahn im öffentlichen Dienst als Beamt*in, die in diesem Bereich arbeiten wollen, unabhängig davon, männlich oder als nicht-binär sowie in sonstigen Geschlechtsidentitäten, die in diesem Bereich arbeiten wollen, unabhängig davon, männlich oder als nicht-binär sowie in sonstigen Geschlechtsidentitäten, und in sonstigen Geschlechtsidentitäten."
"Meine Mitschülerinnen, Mitschüler, sowie alle weiteren Personen, die in unserem Bildungskontext miteinander lernen und sich unterschiedlich in Bezug auf Geschlechtsidentität definieren, und ich bereiteten uns gemeinsam auf die Prüfung vor.",Meine Mitschüler_innen und ich bereiteten uns gemeinsam auf die Prüfung vor.,"Meine Mitschülerinnen, Mitschüler und alle weiteren Personen, die in unserem Bildungskontext miteinander lernen und sich unterschiedlich in Bezug auf Geschlechtsidentität definieren, und ich bereiteten uns gemeinsam auf die Prüfung vor. I bereiteten uns gemeinsam auf die Prüfung vor."
"Die fünfte Person, die diesen Gegenstand nutzt, unabhängig davon, ob sie sich als Mann, Frau oder einer anderen Geschlechtsidentität identifiziert, hat die Möglichkeit, eine kostenlose Massage zu erhalten.",Dier fünfte Benutzer/in dieses Gegenstands erhält eine freie Massage.,"Die Person, die diesen Gegenstand nutzt, unabhängig davon, ob sie sich als Mann, Frau oder einer anderen Geschlechtsidentität identifiziert, hat die Möglichkeit, eine kostenlose Massage zu erhalten. Diese Person, die sich als Mann, Frau oder einer anderen Geschlechtsidentität identifiziert, hat die Möglichkeit, eine kostenlose Massage zu erhalten."
"Der Expert*innenstab, der aus Fachleuten besteht, die über umfangreiche Kenntnisse und Erfahrungen in ihren jeweiligen Bereichen verfügen, beriet den Vorstand in strategischen Fragen und war dabei sowohl durch Personen repräsentiert, die sich als Männer oder Frauen identifizieren, als auch durch Personen, die sich mit anderen Geschlechtsidentitäten identifizieren. Alle Mitglieder des Expert*innenstabs brachten ihre unterschiedlichen Perspektiven und fachlichen Kompetenzen ein, um fundierte Ratschläge und Einsichten für die strategischen Überlegungen des Vorstands zu liefern.",Der Expert_innenstab beriet den Vorstand in strategischen Fragen.,"Der Expert*innenstab, der aus Fachleuten besteht, die über umfangreiche Kenntnisse und Erfahrungen in ihren jeweiligen Bereichen verfügen, beriet den Vorstand in strategischen Fragen und war dabei sowohl durch Personen repräsentiert, die sich als Männer oder Frauen identifizieren, als auch durch Personen, die sich mit anderen Geschlechtsidentitäten identifizieren. Alle Mitglieder des Expertinnenstabs, Expert*innenstabs und all jenen Mitgliedern, die in dieser Bereichen vertreten, waren ihre unterschiedlichen Perspektiven und Kompetenzen ein, um fundierte Ratschläge und Einsichten für die strategischen Überlegungen des Vorstands zu liefern. Alle Mitglieder des Expert*innenstabs, Experten und all jenen Mitglieds, die sich in dieser Bereichen identifizieren, waren ihre unterschiedlichen Perspektiven und Kompetenzen, um die strategischen Überlegungen und Bewertungen zu liefern."
"'Dey, eine Person, die sich als Teil einer vielfältigen Geschlechtsidentität versteht, schloss ihr Studium im Bereich Bachelor of Science ab, unabhängig von den traditionellen Geschlechtskategorien oder der spezifischen Geschlechtsidentität, mit der Dey sich identifiziert.'",Dey schloss deren Studium als Bachelor of Science ab.,"'Dey, eine Person, die sich als Teil einer vielfältigen Geschlechtsidentität versteht, schloss ihr Studium im Bereich Bachelor of Science ab, unabhängig von den traditionellen Geschlechtskategorien oder der spezifischen Geschlechtsidentität, mit der identifizierte Geschlechtsidentität, mit der Dey sich identifiziert. 'Dey, eine Person, die sich als Teil einer vielfältigen Geschlechtsidentität identifiziert, hat ihre Studium im Bereich Bachelor of Science ab, unabhängig von den traditionellen Geschlechtskategorien oder der spezifischen Geschlechtsidentität, mit der identifizierte Geschlechtsidentität identifiziert.'"
"Der Brief, der von einer Person verfasst wurde, die in der medizinischen Beschreibung als Ärztin, Arzt oder mit einer anderen Geschlechtsidentität, die möglicherweise nicht den traditionellen Kategorien entspricht, tätig ist, enthielt sämtliche wichtigen Informationen zur Behandlung.",Der Ärzt:inbrief enthielt alle wichtigen Informationen zur Behandlung.,"Der Brief, der von einer Person, die in der medizinischen Beschreibung als rztin, Arzt oder mit einer anderen Geschlechtsidentität, verfasst wurde, die in der medizinischen Beschreibung als rztin, Arzt oder mit einer anderen Geschlechtsidentität, die möglicherweise nicht den traditionellen Kategorien entspricht, tätig ist, enthielt sämtliche wichtigen Informationen zur Behandlung."
"Die Person, die als Jurorin oder Juror tätig ist und in der Jury des Wettbewerbs sitzt, hat das Urteil verkündet. Diese Person könnte sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren und repräsentiert somit die Vielfalt der Geschlechtsidentitäten, die in solchen Entscheidungsgremien vertreten sein können.",Dier JurorIn verkündete das Urteil im Wettbewerb.,"Die Person, die als Jurorin oder Juror tätig ist und in der Jury des Wettbewerbs sitzt, hat das Urteil verkündet. Diese Person könnte sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren und repräsentiert somit die Vielfalt der Geschlechtsidentitäten, die in solchen Entscheidungsgremien vertreten sein können. Diese Person könnte sich als Frau, Mann oder mit einer anderen Geschlechtsidentität identifizieren und repräsentiert somit die Vielfalt der Geschlechtsidentitäten, die in solchen Entscheidungsgremien vertreten sein können."
