gendered,male,female,enhanced,index
Der Ansatz ist sehr klient*inorientiert.,Der Ansatz ist sehr klientenorientiert.,Der Ansatz ist sehr klientinorientiert.,"Der Ansatz ist sehr orientiert an den Bedürfnissen und Wünschen der Klientinnen, Klienten sowie Personen mit anderen geschlechtlichen Identitäten, die die angebotenen Dienstleistungen in Anspruch nehmen, und berücksichtigt dabei eine Vielzahl von Perspektiven und Erfahrungen, um eine individuelle und empathische Betreuung zu gewährleisten.",902
Dier KlimaschützerIn organisiert eine Demonstration.,Der Klimaschützer organisiert eine Demonstration.,Die Klimaschützerin organisiert eine Demonstration.,"Die klimawissenschaftlich engagierte Person, die sich für den Umweltschutz einsetzt, organisiert eine Demonstration, an der alle Menschen teilnehmen können, unabhängig von Geschlecht oder Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität.",903
"Dier KöchIn bereitete das Festessen mit frischen, regionalen Zutaten zu.","Der Koch bereitete das Festessen mit frischen, regionalen Zutaten zu.","Die Köchin bereitete das Festessen mit frischen, regionalen Zutaten zu.","Die Köchin, der Koch und Personen, die sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität anders definieren, bereiteten das Festessen unter Verwendung frischer, regionaler Zutaten zu, um eine vielfältige und nachhaltige kulinarische Erfahrung zu schaffen, die alle Geschmäcker anspricht.",904
Dier Kolleg*in half dem bei einem schwierigen Projekt und zeigte echte Teamarbeit.,Der Kollege half ihm bei einem schwierigen Projekt und zeigte echte Teamarbeit.,Die Kollegin half ihr bei einem schwierigen Projekt und zeigte echte Teamarbeit.,"Die Kolleginnen, Kollegen und Personen mit anderen geschlechtlichen Identitäten halfen einer Person, die an einem schwierigen Projekt arbeitete, und zeigten dabei ein hohes Maß an Teamarbeit und Kooperationsbereitschaft.",905
"Die Kolleg*innen versammelten sich in der Kantine, um gemeinsam Mittag zu essen.","Die Kollegen versammelten sich in der Kantine, um gemeinsam Mittag zu essen.","Die Kolleginnen versammelten sich in der Kantine, um gemeinsam Mittag zu essen.","Die Kolleginnen, Kollegen und Personen mit anderen geschlechtlichen Identitäten versammelten sich in der Kantine, um gemeinsam zu Mittag zu essen, wobei sie den Austausch und das Miteinander in einer entspannen Atmosphäre genossen und sich über verschiedene Themen austauschten.",906
"Die kollegiale Unterstützung half dabei, die Projektdeadline einzuhalten.","Die Unterstützung eines Kollegen half dabei, die Projektdeadline einzuhalten.","Die Unterstützung einer Kollegin half dabei, die Projektdeadline einzuhalten.","Die kollegiale Unterstützung, die sowohl von Kolleginnen und Kollegen als auch von Personen mit anderen geschlechtlichen Identitäten innerhalb des Teams geleistet wurde, trug entscheidend dazu bei, die vereinbarte Projektdeadline einzuhalten und sicherzustellen, dass alle Beteiligten, unabhängig von ihrer Geschlechtsidentität, sich unterstützt und wertgeschätzt fühlten.",907
Die kommentierende Person analysierte das Spiel mit Fachkenntnis.,Der Kommentator analysierte das Spiel mit Fachkenntnis.,Die Kommentatorin analysierte das Spiel mit Fachkenntnis.,"Die Person, die einen Kommentar abgab und das Spiel analysierte, tat dies mit umfassender Fachkenntnis, unabhängig von ihrer geschlechtlichen Identität, sei es als Frau, Mann oder als Person mit einer anderen geschlechtlichen Identität.",908
Die Kommentator_innen boten den zuschauenden Personen bei der Live-Übertragung eine vielfältige Perspektive auf das Geschehen.,Die Kommentatoren boten den Zuschauern bei der Live-Übertragung eine vielfältige Perspektive auf das Geschehen.,Die Kommentatorinnen boten den Zuschauerinnen bei der Live-Übertragung eine vielfältige Perspektive auf das Geschehen.,"Die Kommentargebenden, bestehend aus Personen verschiedener Geschlechtsidentitäten, boten den zuschauenden Menschen aller Geschlechter während der Live-Übertragung eine vielfältige Perspektive auf das Geschehen, indem sie unterschiedliche Erfahrungen und Sichtweisen teilten, die sowohl die Interessen von Frauen, Männern als auch von Personen mit anderen geschlechtlichen Identitäten ansprachen.",909
"Dier Kommiliton:in half dem, sich auf die bevorstehende Prüfung vorzubereiten und teilte ihre Lernmaterialien.","Der Kommilitone half ihm, sich auf die bevorstehende Prüfung vorzubereiten und teilte seine Lernmaterialien.","Die Kommilitonin half ihr, sich auf die bevorstehende Prüfung vorzubereiten und teilte ihre Lernmaterialien.","Die Kommilitoninnen, Kommilitonen und Personen mit anderen geschlechtlichen Identitäten, die sich an der Hochschule gemeinsam auf die bevorstehende Prüfung vorbereiten, halfen all jenen, die Unterstützung benötigten, und teilten ihre Lernmaterialien mit ihren Studienkolleginnen, Studienkollegen und weiteren Personen, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",910
"Die Kommiliton*innen trafen sich regelmäßig in der Bibliothek, um gemeinsam zu lernen und sich gegenseitig zu unterstützen.","Die Kommilitonen trafen sich regelmäßig in der Bibliothek, um gemeinsam zu lernen und sich gegenseitig zu unterstützen.","Die Kommilitoninnen trafen sich regelmäßig in der Bibliothek, um gemeinsam zu lernen und sich gegenseitig zu unterstützen.","Die Kommilitoninnen, Kommilitonen und Personen mit anderen geschlechtlichen Identitäten, die an der Hochschule oder Universität eingeschrieben sind, trafen sich regelmäßig in der Bibliothek, um gemeinsam zu lernen, sich gegenseitig zu unterstützen und einen Austausch über ihre Studieninhalte zu fördern, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",911
"Dier leidenschaftliche KommunistIn setzte sich für soziale Gerechtigkeit und Gleichheit ein.
","Der leidenschaftliche Kommunist setzte sich für soziale Gerechtigkeit und Gleichheit ein.
","Die leidenschaftliche Kommunistin setzte sich für soziale Gerechtigkeit und Gleichheit ein.
","Die leidenschaftliche Person, die sich mit kommunistischen Idealen identifiziert oder deren politische Überzeugungen in diese Richtung gehen, setzte sich für soziale Gerechtigkeit und Gleichheit ein. Diese Person kann Frauen, Männer oder Menschen mit anderen geschlechtlichen Identitäten umfassen, die sich aktiv für die Schaffung einer gerechteren und gleicheren Gesellschaft engagieren.",912
Dier Kompars:in spielte eine unauffällige Rolle im Hintergrund des Films.,Der Komparse spielte eine unauffällige Rolle im Hintergrund des Films.,Die Komparsin spielte eine unauffällige Rolle im Hintergrund des Films.,"Die Person, die als Komparse oder Komparsin in der Filmproduktion tätig ist, spielte eine unauffällige Rolle im Hintergrund des Films, und dies unabhängig von deren Geschlechtsidentität, sei es eine Person, die sich als Mann, Frau oder in einer anderen geschlechtlichen Identität identifiziert.",913
Dier talentierte Komponist_in erhielt einen Preis für ihr neuestes Orchesterwerk.,Die talentierte Komponistin erhielt einen Preis für ihr neuestes Orchesterwerk.,Die talentierte Komponistin erhielt einen Preis für ihr neuestes Orchesterwerk.,"Die talentierte Komponistin, der talentierte Komponist und Personen mit anderen geschlechtlichen Identitäten, die im Bereich der Musikkomposition tätig sind, erhielten einen Preis für ihr neuestes Orchesterwerk, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren.",914
Die jungen KomponistInnen beeindruckten das Publikum mit ihrer innovativen Musik.,Die jungen Komponisten beeindruckten das Publikum mit ihrer innovativen Musik.,Die jungen Komponistinnen beeindruckten das Publikum mit ihrer innovativen Musik.,"Die jungen Komponistinnen, Komponisten und Personen mit anderen geschlechtlichen Identitäten, die als Komponierende tätig sind, beeindruckten das Publikum, bestehend aus allen Geschlechtern und Identitäten, durch ihre innovative Musik, die frische Perspektiven und kreative Klänge in die musikalische Darbietung einbrachte.",915
Dier Konditor/in kreierte wunderschöne Torten für die Hochzeit.,Der Konditor kreierte wunderschöne Torten für die Hochzeit.,Die Konditorin kreierte wunderschöne Torten für die Hochzeit.,"Die Konditoren, Konditorinnen und Personen anderer geschlechtlicher Identität, die in der Kunst des Tortenbackens und der Konditorei tätig sind, kreierten wunderschöne Torten für die Hochzeit, die den Geschmack und die Wünsche aller Beteiligten berücksichtigten, unabhängig von deren Geschlechtsidentität.",916
Dier Konfirmand_in freute sich auf den besonderen Tag derer Konfirmation.,Der Konfirmand freute sich auf den besonderen Tag seiner Konfirmation.,Die Konfirmandin freute sich auf den besonderen Tag ihrer Konfirmation.,"Die Konfirmandinnen, Konfirmanden und Personen mit anderen geschlechtlichen Identitäten, die sich auf den besonderen Tag ihrer Konfirmation freuen, empfinden Vorfreude auf diesen wichtigen Schritt in ihrer religiösen Gemeinschaft, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren.",917
Die Konfirmand*innen bereiteten sich gemeinsam auf ihre bevorstehende Konfirmation vor.,Die Konfirmanden bereiteten sich gemeinsam auf ihre bevorstehende Konfirmation vor.,Die Konfirmandinnen bereiteten sich gemeinsam auf ihre bevorstehende Konfirmation vor.,"Die Konfirmandinnen, Konfirmanden und Personen mit anderen geschlechtlichen Identitäten, die sich auf ihre bevorstehende Konfirmation vorbereiten, trafen sich gemeinsam, um miteinander zu lernen, sich auszutauschen und sich auf diesen wichtigen Schritt in ihrem Leben vorzubereiten.",918
Im Konfirmand/inunterricht diskutierten die Jugendlichen über ethische Fragen und religiöse Themen.,Im Konfirmandenunterricht diskutierten die Jugendlichen über ethische Fragen und religiöse Themen.,Im Konfirmandinunterricht diskutierten die Jugendlichen über ethische Fragen und religiöse Themen.,"Im Konfirmanden- und Konfirmandinnenunterricht, der für alle Jugendlichen, unabhängig von ihrer geschlechtlichen Identität, zugänglich ist, diskutierten die Teilnehmenden, die sich als Jungen, Mädchen oder in einer anderen geschlechtlichen Identität verstehen, über ethische Fragestellungen und religiöse Themen, die für sie von Bedeutung sind.",919
Der könig/inliche Palast ist eine beliebte Tourist/innenattraktion.,Der königliche Palast ist eine beliebte Touristenattraktion.,Der königinliche Palast ist eine beliebte Touristinnenattraktion.,"Der königliche Palast ist eine beliebte Attraktion für Touristen, Touristinnen sowie für Personen mit anderen geschlechtlichen Identitäten, die sich für Kultur, Geschichte und die architektonische Schönheit dieses historischen Ortes interessieren.",920
"Das Marathonlaufen gilt als die König_indisziplin der Leichtathletik.
","Das Marathonlaufen gilt als die Königsdisziplin der Leichtathletik.
","Das Marathonlaufen gilt als die Königindisziplin der Leichtathletik.
","Das Marathonlaufen wird allgemein als die höchste Kunst oder das am meisten angesehene Wettkampfangebot innerhalb der Leichtathletik angesehen, das sowohl Athletinnen, Athleten sowie Personen mit anderen geschlechtlichen Identitäten anzieht und herausfordert, die in der Lage sind, an einem Langstreckenlauf über die Distanz von 42,195 Kilometern teilzunehmen und dabei ihre Ausdauer, Geschwindigkeit und Fitness unter Beweis zu stellen.",921
In der König*inklasse des Motorsports dominieren die besten Fahrerinnen der Welt.,"In der Königsklasse des Motorsports dominieren die besten Fahrer der Welt.
","In der Königinklasse des Motorsports dominieren die besten Fahrerinnen der Welt.
","In der Königsklasse des Motorsports, die als eine der höchsten und prestigeträchtigsten Klassen angesehen wird, dominieren die besten Fahrerinnen, Fahrer und Personen aller anderen Geschlechtsidentitäten aus der ganzen Welt, die in diesem spannenden und herausfordernden Umfeld tätig sind und ihre außergewöhnlichen Fähigkeiten und Talente unter Beweis stellen.",922
"Deren stärksteR KonkurrentIn im Wettbewerb zeigte eine beeindruckende Leistung.
","Sein stärkster Konkurrent im Wettbewerb zeigte eine beeindruckende Leistung.
","Ihre stärkste Konkurrentin im Wettbewerb zeigte eine beeindruckende Leistung.
","Die stärkste Konkurrenz, unabhängig davon, ob sie als männlich, weiblich oder mit einer anderen geschlechtlichen Identität wahrgenommen wird, zeigte im Wettbewerb eine beeindruckende Leistung.",923
Die Konsument/innen zeigten ein gesteigertes Interesse an nachhaltigen Produkten und trugen so zu einem umweltbewussteren Konsumverhalten bei.,Die Konsumenten zeigten ein gesteigertes Interesse an nachhaltigen Produkten und trugen so zu einem umweltbewussteren Konsumverhalten bei.,Die Konsumentinnen zeigten ein gesteigertes Interesse an nachhaltigen Produkten und trugen so zu einem umweltbewussteren Konsumverhalten bei.,"Die Konsumenten, Konsumentinnen und Personen anderer geschlechtlicher Identität, die Produkte konsumieren, zeigten ein gesteigertes Interesse an nachhaltigen Produkten. Durch ihr Engagement und ihre Kaufentscheidungen trugen sie somit zu einem umweltbewussteren Konsumverhalten bei, unabhängig davon, wie sie sich bezüglich ihres Geschlechts oder ihrer Geschlechtsidentität definieren.",924
"Die Bank richtete eine neue Service-Hotline ein, um den Kontoinhaber_innen bei Fragen und Anliegen schnell und effizient zur Seite zu stehen.","Die Bank richtete eine neue Service-Hotline ein, um den Kontoinhabern bei Fragen und Anliegen schnell und effizient zur Seite zu stehen.","Die Bank richtete eine neue Service-Hotline ein, um den Kontoinhaberinnen bei Fragen und Anliegen schnell und effizient zur Seite zu stehen.","Die Bank richtete eine neue Service-Hotline ein, um den Personen, die ein Konto bei der Bank besitzen, unabhängig von deren Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität, bei Fragen und Anliegen schnell und effizient zur Seite zu stehen.",925
"Dier Kontrahent_in im Schachturnier gab nach einem intensiven Spiel schließlich auf.
","Der Kontrahent im Schachturnier gab nach einem intensiven Spiel schließlich auf.
","Die Kontrahentin im Schachturnier gab nach einem intensiven Spiel schließlich auf.
","Die Kontrahentinnen, Kontrahenten und Personen mit anderen geschlechtlichen Identitäten, die im Schachturnier gegeneinander antreten, haben nach einem intensiven und spannenden Spiel schließlich die Entscheidung getroffen, aufzugeben.",926
Dier KontrolleurIn überprüfte sorgfältig die Sicherheitsstandards im Werk.,Der Kontrolleur überprüfte sorgfältig die Sicherheitsstandards im Werk.,Die Kontrolleurin überprüfte sorgfältig die Sicherheitsstandards im Werk.,"Die Kontrolleurin, der Kontrolleur und alle anderen Personen, die in dieser Rolle tätig sind, überprüften sorgfältig die Sicherheitsstandards im Werk, unabhängig von ihrer Geschlechtsidentität oder Geschlechtszugehörigkeit.",927
"Dier Kooperationspartner*in entwickelte neue Strategien für das Geschäftsjahr.
","Der Kooperationspartner entwickelte neue Strategien für das Geschäftsjahr.
","Die Kooperationspartnerin entwickelte neue Strategien für das Geschäftsjahr.
","Die Kooperationspartnerin, der Kooperationspartner und Personen mit anderen geschlechtlichen Identitäten, die an der Entwicklung von neuen Strategien für das kommende Geschäftsjahr beteiligt sind, haben innovative Ansätze erarbeitet, die auf die verschiedenen Bedürfnisse und Perspektiven der Beteiligten eingehen.",928
"Dier Koordinator_in organisierte das Event.
","Der Koordinator organisierte das Event.
","Die Koordinatorin organisierte das Event.
","Die Koordinatorin, der Koordinator und Personen mit anderen geschlechtlichen Identitäten, die die Aufgabe haben, das Event zu organisieren, haben sich erfolgreich mit verschiedenen Aspekten der Planung und Durchführung des Events beschäftigt.",929
Dier erfahrene Kraftfahrer_in lieferte die Waren pünktlich an alle Zielorte.,Der erfahrene Kraftfahrer lieferte die Waren pünktlich an alle Zielorte.,Die erfahrene Kraftfahrerin lieferte die Waren pünktlich an alle Zielorte.,"Die erfahrenen Kraftfahrerinnen, Kraftfahrer und Personen anderer geschlechtlicher Identität, die über eine entsprechende Fahrerlaubnis verfügen und als Berufskraftfahrende tätig sind, lieferten die Waren pünktlich an alle vorgesehenen Zielorte, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",930
Die Kraftfahrer_innen holten die Waren zuverlässig ab.,Die Kraftfahrer holten die Waren zuverlässig ab.,Die Kraftfahrerinnen holten die Waren zuverlässig ab.,"Die Kraftfahrerinnen, Kraftfahrer und Personen mit anderen geschlechtlichen Identitäten, die in der Transportbranche tätig sind und für den Transport von Waren verantwortlich sind, holten die Waren zuverlässig ab, unabhängig von ihrer Geschlechtsidentität.",931
Dier Krankenpfleger:in kümmerte sich einfühlsam um die Bedürfnisse derer Patient:innen.,Der Krankenpfleger kümmerte sich einfühlsam um die Bedürfnisse seiner Patienten.,Die Krankenpflegerin kümmerte sich einfühlsam um die Bedürfnisse ihrer Patientinnen.,"Die Krankenpflegerinnen, Krankenpfleger und Personen mit anderen geschlechtlichen Identitäten, die in dieser Profession tätig sind, kümmerten sich einfühlsam um die Bedürfnisse der Patientinnen, Patienten und Personen, die keine spezifische Geschlechtsidentität angeben oder sich als nicht-binär oder genderqueer identifizieren.",932
"Die Pflegefachkräfte arbeiteten im Schichtdienst, um eine kontinuierliche Betreuung der zu pflegenden Personen rund um die Uhr zu gewährleisten.","Die Krankenpfleger arbeiteten im Schichtdienst, um eine kontinuierliche Betreuung der Patienten rund um die Uhr zu gewährleisten.","Die Krankenpflegerinnen arbeiteten im Schichtdienst, um eine kontinuierliche Betreuung der Patientinnen rund um die Uhr zu gewährleisten.","Die Pflegefachkräfte, dazu gehören sowohl Pflegefachmänner als auch Pflegefachfrauen sowie Personen mit anderen geschlechtlichen Identitäten, arbeiteten im Schichtdienst, um eine kontinuierliche und qualitative Betreuung der zu pflegenden Personen, unabhängig von deren Geschlechtsidentität oder persönlichen Umständen, rund um die Uhr sicherzustellen.",933
Dier KrankenpflegerIn kümmerte sich liebevoll um die PatientInnen.,Der Krankenpfleger kümmerte sich liebevoll um die Patienten.,Die Krankenschwester kümmerte sich liebevoll um die Patientinnen.,"Die Krankenschwester, der Krankenpfleger und Personen mit anderen geschlechtlichen Identitäten, die im Bereich der Krankenpflege tätig sind, kümmerten sich liebevoll um die Patientinnen, Patienten und weitere Personen, die in einer medizinischen Einrichtung betreut werden, unabhängig von deren Geschlechtsidentität.",934
Krankenpfleger:innen brauchen viel Geduld und Mitgefühl.,Krankenpfleger brauchen viel Geduld und Mitgefühl.,Krankenschwestern brauchen viel Geduld und Mitgefühl.,"Krankenpfleger, Krankenpflegerinnen und Personen, die in der Krankenpflege tätig sind, unabhängig von ihrer geschlechtlichen Identität, benötigen viel Geduld und Mitgefühl in ihrer wichtigen und verantwortungsvollen Arbeit, um bestmöglich für die Gesundheit und das Wohlbefinden der ihnen anvertrauten Menschen zu sorgen.",935
"Dier Kranke wurde von deren Ärzt_in gründlich untersucht und erhielt eine angemessene Behandlung, um deren Genesung zu unterstützen.","Der Kranke wurde von seinem Arzt gründlich untersucht und erhielt eine angemessene Behandlung, um seine Genesung zu unterstützen.","Die Kranke wurde von ihrer Ärztin gründlich untersucht und erhielt eine angemessene Behandlung, um ihre Genesung zu unterstützen.","Die kranke Person wurde von der behandelnden Ärztin, dem behandelnden Arzt sowie von weiteren medizinischen Fachkräften, die unterschiedlichen geschlechtlichen Identitäten angehören, gründlich untersucht und erhielt eine angemessene Behandlung, um die Genesung der betroffenen Person bestmöglich zu unterstützen.",936
Die kreditnehmende Person vereinbarte eine flexible Rückzahlungsoption mit der Bank.,Der Kreditnehmer vereinbarte eine flexible Rückzahlungsoption mit der Bank.,Die Kreditnehmerin vereinbarte eine flexible Rückzahlungsoption mit der Bank.,"Die Person, die einen Kredit aufgenommen hat, hat eine flexible Rückzahlungsoption mit der Bank vereinbart, wobei es sich um eine Frau, einen Mann oder eine Person mit einer anderen geschlechtlichen Identität handeln kann.",937
Die KreditnehmerInnen verschuldeten sich.,Die Kreditnehmer verschuldeten sich.,Die Kreditnehmerinnen verschuldeten sich.,"Die Kreditnehmerinnen, Kreditnehmer und Personen mit anderen geschlechtlichen Identitäten, die einen Kredit aufgenommen haben, verschuldeten sich.",938
Dier Kriminalbeamt/in führte die Ermittlungen im Betrugsfall durch.,Der Kriminalbeamte führte die Ermittlungen im Betrugsfall durch.,Die Kriminalbeamtin führte die Ermittlungen im Betrugsfall durch.,"Die Kriminalbeamtin, der Kriminalbeamte und alle anderen Personen, die in der Rolle einer Kriminalbeamtin oder eines Kriminalbeamten arbeiten, führten die Ermittlungen in dem Betrugsfall durch, unabhängig von ihrer geschlechtlichen Identität.",939
Dier KritikerIn analysierte den Film mit einem geschulten Blick und teilte deren Meinung darüber in deren Kolumne für die Zeitung.,Der Kritiker analysierte den Film mit einem geschulten Blick und teilte seine Meinung darüber in seiner Kolumne für die Zeitung.,Die Kritikerin analysierte den Film mit einem geschulten Blick und teilte ihre Meinung darüber in ihrer Kolumne für die Zeitung.,"Die Kritikerin, der Kritiker sowie Personen anderer geschlechtlicher Identität, die sich mit der Filmkritik beschäftigen, analysierten den Film mit einem geschulten Blick und teilten ihre Meinungen darüber in ihren Kolumnen für die Zeitung mit, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",940
Dier Küchenhelfer:in unterstützte bei der Zubereitung der Mahlzeiten.,Der Küchenhelfer unterstützte bei der Zubereitung der Mahlzeiten.,Der Küchenhelfer unterstützte bei der Zubereitung der Mahlzeiten.,"Die Küchenhelferinnen, Küchenhelfer und Personen mit anderen geschlechtlichen Identitäten, die in der Küche tätig sind, unterstützten bei der Zubereitung der Mahlzeiten und trugen dazu bei, dass alles reibungslos und effizient ablief, unabhängig davon, wie sie sich in Bezug auf Geschlecht oder Geschlechtsidentität definieren.",941
"Dier Kümmer:in sorgte dafür, dass alle Bewohner:innen des Altenheims die notwendige Pflege erhielten.","Der Kümmerer sorgte dafür, dass alle Bewohner des Altenheims die notwendige Pflege erhielten.","Die Kümmerin sorgte dafür, dass alle Bewohnerinnen des Altenheims die notwendige Pflege erhielten.","Die Person, die die Rolle der Kümmerin oder des Kümmers übernommen hat, sorgte dafür, dass alle Bewohnerinnen, Bewohner und Personen mit anderen geschlechtlichen Identitäten, die im Altenheim leben, die notwendige Pflege erhielten, die ihren individuellen Bedürfnissen entspricht und ihnen ein würdevolles Leben ermöglicht.",942
"Mein:e Kumpel:ine und ich trafen uns jedes Wochenende zum Fußballspielen.
","Mein Kumpel und ich trafen uns jedes Wochenende zum Fußballspielen.
","Meine Kumpeline und ich trafen uns jedes Wochenende zum Fußballspielen.
","Mein Kumpel, meine Kumpelin und ich, unabhängig von unserer jeweiligen Geschlechtsidentität, trafen uns jedes Wochenende, um gemeinsam Fußball zu spielen. Dabei waren wir offen für alle Formen der Geschlechtsidentität, sei es männlich, weiblich oder anderen Orientierungen, und genossen die gemeinsame sportliche Aktivität in einer inklusiven und respektvollen Umgebung.",943
Dier KundIn war mit dem Service im Restaurant zufrieden und hinterließ ein großzügiges Trinkgeld als Dank für die ausgezeichnete Bedienung.,Der Kunde war mit dem Service im Restaurant zufrieden und hinterließ ein großzügiges Trinkgeld als Dank für die ausgezeichnete Bedienung.,Die Kundin war mit dem Service im Restaurant zufrieden und hinterließ ein großzügiges Trinkgeld als Dank für die ausgezeichnete Bedienung.,"Die Kundin, der Kunde sowie Personen mit anderen geschlechtlichen Identitäten, die das Restaurant besucht haben, waren mit dem Service im Restaurant zufrieden und hinterließen ein großzügiges Trinkgeld als Dank für die ausgezeichnete Bedienung durch das Personal, unabhängig von ihrer Geschlechtsidentität oder ihrer individuellen Erfahrungen.",944
"Die Kund*innen waren mit dem freundlichen Service des Geschäfts sehr zufrieden.
","Die Kunden waren mit dem freundlichen Service des Geschäfts sehr zufrieden.
","Die Kundinnen waren mit dem freundlichen Service des Geschäfts sehr zufrieden.
","Die Kundinnen, Kunden und Personen mit anderen geschlechtlichen Identitäten, die die Dienstleistungen des Geschäfts in Anspruch genommen haben, waren äußerst zufrieden mit dem freundlichen Service, den sie dort erhalten haben, unabhängig davon, wie sie sich selbst hinsichtlich ihres Geschlechts oder ihrer Geschlechtsidentität definieren.",945
Dier Kund_inberaterin half bei der Auswahl des besten Tarifs für die Versicherung.,Der Kundenberater half bei der Auswahl des besten Tarifs für die Versicherung.,Die Kundinberaterin half bei der Auswahl des besten Tarifs für die Versicherung.,"Die Kundenberaterin, der Kundenberater und Personen mit anderen geschlechtlichen Identitäten, die in der Rolle der Beratung tätig sind, halfen den Kundinnen, Kunden und weiteren Interessierten bei der Auswahl des besten Tarifs für die Versicherung, unabhängig davon, wie sie sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren.",946
"Die KundInberatung in unserem Laden ist ausgezeichnet und hilft jeder Person, das passende Produkt zu finden.","Die Kundenberatung in unserem Laden ist ausgezeichnet und hilft jeder Person, das passende Produkt zu finden.","Die Kundinberatung in unserem Laden ist ausgezeichnet und hilft jeder Person, das passende Produkt zu finden.","Die Kundenberatung in unserem Laden, die für alle Personen zugänglich ist, unabhängig von ihrer Geschlechtsidentität, sei es eine Frau, ein Mann oder eine Person mit einer anderen geschlechtlichen Identität, ist ausgezeichnet und unterstützt jede einzelne Person dabei, das für sie passende Produkt zu finden.",947
"Die Kund/inbetreuer/in hat sich viel Zeit genommen, um auf all meine Fragen einzugehen.","Der Kundenbetreuer hat sich viel Zeit genommen, um auf all meine Fragen einzugehen.","Die Kundinbetreuerin hat sich viel Zeit genommen, um auf all meine Fragen einzugehen.","Die Person, die für die Betreuung der Kundinnen, Kunden und Personen mit anderen geschlechtlichen Identitäten zuständig ist, hat sich viel Zeit genommen, um auf all meine Fragen ausführlich einzugehen und sicherzustellen, dass ich alle benötigten Informationen erhalte, ungeachtet ihrer eigenen Geschlechtsidentität.",948
"Die positiven Kund/inbewertungen auf der Website haben mich überzeugt, das Produkt zu kaufen.","Die positiven Kundenbewertungen auf der Website haben mich überzeugt, das Produkt zu kaufen.","Die positiven Kundinbewertungen auf der Website haben mich überzeugt, das Produkt zu kaufen.","Die positiven Bewertungen von Kundinnen, Kunden und Personen mit anderen geschlechtlichen Identitäten auf der Website haben mich dazu überzeugt, das Produkt zu kaufen, unabhängig davon, wie die jeweiligen Personen sich in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren.",949
Eine gute Kund/inbeziehung ist entscheidend für den langfristigen Erfolg eines Unternehmens.,Eine gute Kundenbeziehung ist entscheidend für den langfristigen Erfolg eines Unternehmens.,Eine gute Kundinbeziehung ist entscheidend für den langfristigen Erfolg eines Unternehmens.,"Eine positive Beziehung zu Kundinnen, Kunden und Personen aller anderen geschlechtlichen Identitäten ist entscheidend für den langfristigen Erfolg eines Unternehmens. Egal, ob es sich um Frauen, Männer oder Menschen handelt, die sich nicht in diese Kategorien einordnen lassen, die Pflege einer guten Beziehung zu all diesen Personen trägt maßgeblich zum Gesamterfolg des Unternehmens bei.",950
Durch unser Treueprogramm stärken wir die Kund_inbindung.,Durch unser Treueprogramm stärken wir die Kundenbindung.,Durch unser Treueprogramm stärken wir die Kundinbindung.,"Durch unser Treueprogramm fördern wir die Bindung von Kundinnen, Kunden und Personen anderer geschlechtlicher Identitäten zu unserem Unternehmen, um sicherzustellen, dass alle, die bei uns einkaufen oder unsere Dienstleistungen in Anspruch nehmen, sich wertgeschätzt fühlen und eine langfristige Beziehung zu uns aufbauen können.",951
Der Schutz der Daten der Kundschaft hat bei uns höchste Priorität.,Der Schutz von Kundendaten hat bei uns höchste Priorität.,Der Schutz von Kundindaten hat bei uns höchste Priorität.,"Der Schutz der Daten aller Personen in unserer Kundschaft, einschließlich Frauen, Männer und Personen mit anderen geschlechtlichen Identitäten, hat bei uns oberste Priorität. Wir setzen alles daran, die Informationen und Privatsphäre der individuellen Nutzer*innen, unabhängig von ihrer Geschlechtsidentität oder Geschlechtsausdruck, bestmöglich zu gewährleisten.",952
Der Kund:indienst war sehr hilfsbereit und hat mein Problem schnell gelöst.,Der Kundendienst war sehr hilfsbereit und hat mein Problem schnell gelöst.,Der Kundindienst war sehr hilfsbereit und hat mein Problem schnell gelöst.,"Der Kundendienst, bestehend aus Personen, die sich unterschiedlicher Geschlechtsidentitäten zuordnen – seien es Frauen, Männer oder Menschen mit anderen geschlechtlichen Identitäten – war äußerst hilfsbereit und hat mein Anliegen zügig und effizient gelöst, unabhängig davon, wie sich die individuellen Teammitglieder in Bezug auf ihr Geschlecht oder ihre Geschlechtsidentität definieren.",953
